---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   cheesy_jang
Pipeline_session:   5c047305-0990-4277-af79-f0e5858675e2
Pipeline_duration:  33281
Pipeline_datastrt:  2024-01-30T12:36:35.123207Z
Pipeline_datecomp:  2024-01-30T21:51:16.788622Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iqTelOcea7_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iqTelOcea7_1.yaml
InputAssemblyData:  [[id:iqTelOcea7_1, sz:2087613714, ln:insects, tk:null], /lustre/scratch124/tol/projects/tol/data/insects/Teleogryllus_oceanicus/assembly/draft/treeval/iqTelOcea7_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:17746730529], /lustre/scratch124/tol/projects/tol/data/insects/Teleogryllus_oceanicus/assembly/draft/treeval/iqTelOcea7_1/working/work/d3/bf223e5e3593cd7bf5ff64e04bf924/in/m84047_240108_150202_s4.ccs.bc2001.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:69067578118, cn:14], /lustre/scratch124/tol/projects/tol/data/insects/Teleogryllus_oceanicus/assembly/draft/treeval/iqTelOcea7_1/working/work/d3/a85393f236cc02f032e5f142f09eee/in/47924_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iqTelOcea7_1)	COMPLETED	-	1	100 MB	1	51ms	57.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:GrabFiles (iqTelOcea7_1)	COMPLETED	-	1	100 MB	1	37ms	88.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iqTelOcea7_1)	COMPLETED	-	1	100 MB	1	51ms	58.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:GrabFiles (iqTelOcea7_1)	COMPLETED	-	1	100 MB	1	41ms	89.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	5s	50.3%	0.1%	306.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iqTelOcea7_1)	COMPLETED	-	1	100 MB	1	1s	26.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (input/ref.fa)	COMPLETED	-	1	6 GB	1	8s	95.6%	0.0%	4.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iqTelOcea7_1)	COMPLETED	-	1	100 MB	1	29ms	34.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	17ms	43.5%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	16ms	74.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	17.3s	98.1%	0.2%	609.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	15ms	48.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iqTelOcea7_1)	COMPLETED	-	1	6 GB	1	1s	90.8%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iqTelOcea7_1)	COMPLETED	-	1	2 GB	1	0ms	16.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	199ms	149.1%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	5s	141.6%	0.1%	391.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	17ms	107.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iqTelOcea7_1)	COMPLETED	-	1	2 GB	1	0ms	56.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	48s	93.3%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:CAT_CAT (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	48s	93.1%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	12m 2s	99.9%	1.2%	4.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	59 GB	1	27m 9s	99.7%	12.0%	45.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	19m 59s	99.8%	0.2%	888.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	12s	99.2%	0.0%	6.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iqTelOcea7_1)	COMPLETED	-	1	6 GB	1	9s	96.8%	1.0%	3.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	2.2s	111.9%	0.0%	8.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	7.2s	178.8%	0.3%	1010.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (iqTelOcea7_1)	COMPLETED	-	2	12 GB	1	6.9s	132.8%	0.0%	9.8 MB
