---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   big_wiles
Pipeline_session:   93df909e-69ad-4225-bccf-ba8d9ae1e53e
Pipeline_duration:  CANNOT BE CALCULATED
Pipeline_datastrt:  2023-09-19T13:36:05.433157561+01:00
Pipeline_datecomp:  2023-09-20 01:44:04.843+0100
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      iyArgPaga1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/iyArgPaga1_1.yaml
InputAssemblyData:  [[id:iyArgPaga1_1, sz:208173194, ln:insects, tk:VGP], /lustre/scratch124/tol/projects/darwin/data/insects/Arge_pagana/assembly/draft/treeval/iyArgPaga1_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5265034430], /lustre/scratch123/tol/teams/tola/users/yy5/tv_pretag/treeval/work/fc/b88a5cf52245e74ca327a5994bc8a7/in/m64089e_230903_003108.ccs.bc1003_BAK8A_OA--bc1003_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:46887099509], /lustre/scratch123/tol/teams/tola/users/yy5/tv_pretag/treeval/work/a0/01fea53818c19fc26793dfb9c2dd80/in/45023_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
FULL:SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (iyArgPaga1_1)	COMPLETED	-	1	6 GB	1	104ms	20.0%	0.0%	0
FULL:SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (iyArgPaga1_1)	COMPLETED	-	1	6 GB	1	131ms	17.8%	0.0%	0
FULL:SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (iyArgPaga1_1)	COMPLETED	-	2	12 GB	1	0ms	88.5%	0.0%	4.2 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (iyArgPaga1_1)	COMPLETED	-	2	12 GB	1	0ms	62.7%	0.0%	6.2 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (iyArgPaga1_1)	COMPLETED	-	2	12 GB	1	2s	92.0%	0.0%	41.3 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyArgPaga1_1)	COMPLETED	-	1	6 GB	1	0ms	96.1%	0.0%	3 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (insects)	COMPLETED	-	1	6 GB	1	26ms	40.8%	0.0%	2.8 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (iyArgPaga1_1)	COMPLETED	-	6	36 GB	1	7s	277.7%	0.6%	2.1 GB
FULL:SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	7s	176.2%	0.5%	1.8 GB
FULL:SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (iyArgPaga1_1)	COMPLETED	-	2	12 GB	1	6s	79.4%	0.0%	88.6 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (iyArgPaga1_1)	COMPLETED	-	2	12 GB	1	5s	76.9%	0.0%	56.8 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (iyArgPaga1_1)	COMPLETED	-	2	12 GB	1	5s	77.2%	0.0%	53.3 MB
FULL:SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (OsmiaBicornis22010cds)	COMPLETED	-	6	100 GB	1	11s	286.8%	0.2%	3.2 GB
