---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   boring_mirzakhani
Pipeline_session:   cc217626-9340-4ff4-92fb-1dc775b6735a
Pipeline_duration:  36488
Pipeline_datastrt:  2023-10-23T14:33:51.329584232+01:00
Pipeline_datecomp:  2023-10-24T00:42:00.029058931+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyBomLuco1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyBomLuco1_1.yaml
InputAssemblyData:  [[id:iyBomLuco1_1, sz:367178729, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Bombus_lucorum/assembly/draft/treeval/iyBomLuco1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:3800899863], /lustre/scratch124/tol/projects/darwin/data/insects/Bombus_lucorum/assembly/draft/treeval/iyBomLuco1_1/working/work/96/51d6e65ad0cceff982848fef928d53/in/m64178e_230927_234818.ccs.bc2017--bc2017.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:45875844282], /lustre/scratch124/tol/projects/darwin/data/insects/Bombus_lucorum/assembly/draft/treeval/iyBomLuco1_1/working/work/4f/c24661e6687d1a0d4178270b8e3584/in/47527_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyBomLuco1_1)	COMPLETED	-	1	6 GB	1	42ms	99.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyBomLuco1_1)	COMPLETED	-	1	6 GB	1	53ms	82.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyBomLuco1_1)	COMPLETED	-	1	6 GB	1	42ms	92.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	2.9s	94.0%	0.0%	49 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	0ms	99.2%	0.0%	21 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	0ms	70.2%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyBomLuco1_1)	COMPLETED	-	1	6 GB	1	2s	95.0%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	16ms	42.7%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	15ms	61.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	10s	197.4%	0.7%	2.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	10s	92.6%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	11ms	93.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyBomLuco1_1)	COMPLETED	-	1	6 GB	1	0ms	76.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyBomLuco1_1)	COMPLETED	-	2	12 GB	1	14ms	45.4%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyBomLuco1_1)	COMPLETED	-	1	6 GB	1	0ms	55.7%	0.0%	3.1 MB
