---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   dreamy_darwin
Pipeline_session:   2877f87b-3653-4cf8-a76e-f3b8304c1d28
Pipeline_duration:  37607
Pipeline_datastrt:  2024-04-10T11:16:39.044580+01:00
Pipeline_datecomp:  2024-04-10T21:43:26.874599+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      iyChrAngu1_3
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/iyChrAngu1_3.yaml
InputAssemblyData:  [[id:iyChrAngu1_3, sz:475117413, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Chrysis_angustula/assembly/draft/treeval/iyChrAngu1_3/merged.fa]
Input_PacBio_Files: [[id:read, sz:2630149418], /lustre/scratch124/tol/projects/darwin/data/insects/Chrysis_angustula/assembly/draft/treeval/iyChrAngu1_3/work/93/b69156fd872d34239df11e332cc4d3/in/m84098_240328_162427_s2.ccs.bc2066.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37359061907, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Chrysis_angustula/assembly/draft/treeval/iyChrAngu1_3/work/ff/558df51c34a183fe45d3fbd8e0f3f5/in/44743_1#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (iyChrAngu1_3)	COMPLETED	-	1	100 MB	1	47ms	44.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (iyChrAngu1_3)	COMPLETED	-	1	100 MB	1	141ms	24.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (iyChrAngu1_3)	COMPLETED	-	1	100 MB	1	89ms	17.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (iyChrAngu1_3)	COMPLETED	-	1	100 MB	1	92ms	32.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (iyChrAngu1_3)	COMPLETED	-	1	100 MB	1	0ms	61.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (iyChrAngu1_3)	COMPLETED	-	1	6 GB	1	3s	94.8%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (iyChrAngu1_3)	COMPLETED	-	2	12 GB	1	0ms	98.7%	0.0%	11.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (iyChrAngu1_3)	COMPLETED	-	2	12 GB	1	2.6s	97.6%	0.0%	43.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (iyChrAngu1_3)	COMPLETED	-	2	12 GB	1	7s	98.7%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (iyChrAngu1_3)	COMPLETED	-	2	12 GB	1	11ms	56.1%	0.0%	2.8 MB
