---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   golden_leibniz
Pipeline_session:   dd9ce65f-b0bb-44ed-9240-17a1c29e5526
Pipeline_duration:  25380
Pipeline_datastrt:  2023-09-28T10:53:38.808685594+01:00
Pipeline_datecomp:  2023-09-28T17:56:38.820666836+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyCryVidu1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyCryVidu1_1.yaml
InputAssemblyData:  [[id:iyCryVidu1_1, sz:229117843, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Cryptus_viduatorius/assembly/draft/treeval/iyCryVidu1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7715345206], /lustre/scratch124/tol/projects/darwin/data/insects/Cryptus_viduatorius/assembly/draft/treeval/iyCryVidu1_1/working/work/2c/0ae5007ea9a0ca9d2bb2f660d97096/in/m64089e_230426_105527.ccs.bc2060--bc2060.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39265289672], /lustre/scratch124/tol/projects/darwin/data/insects/Cryptus_viduatorius/assembly/draft/treeval/iyCryVidu1_1/working/work/9f/b5fae30fb950cedfd3507789f8143e/in/47122_4#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyCryVidu1_1)	COMPLETED	-	1	6 GB	1	42ms	99.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyCryVidu1_1)	COMPLETED	-	1	6 GB	1	36ms	71.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyCryVidu1_1)	COMPLETED	-	1	6 GB	1	33ms	97.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	0ms	66.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	2.1s	92.7%	0.0%	87.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	1s	135.4%	0.1%	299.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	46ms	15.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyCryVidu1_1)	COMPLETED	-	1	6 GB	1	18s	35.5%	0.0%	5.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	14ms	92.1%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	13ms	96.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyCryVidu1_1)	COMPLETED	-	2	12 GB	1	15s	19.3%	0.0%	43.6 MB
