---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   infallible_lalande
Pipeline_session:   4a0095c5-51a9-40c2-8f90-e5cab6876344
Pipeline_duration:  36158
Pipeline_datastrt:  2024-03-14T14:28:28.950094Z
Pipeline_datecomp:  2024-03-15T00:31:07.303660Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      iyEreMarg1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Eremotylus_marginatus/assembly/draft/treeval/iyEreMarg1_1/iyEreMarg1_1.yaml
InputAssemblyData:  [[id:iyEreMarg1_1, sz:338461292, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Eremotylus_marginatus/assembly/draft/treeval/iyEreMarg1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2719611864], /lustre/scratch124/tol/projects/darwin/data/insects/Eremotylus_marginatus/assembly/draft/treeval/iyEreMarg1_1/working/work/55/20898c252aec96c4b2e0123f93df91/in/m84093_240301_130309_s4.ccs.bc2032.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34313997880, cn:7], /lustre/scratch124/tol/projects/darwin/data/insects/Eremotylus_marginatus/assembly/draft/treeval/iyEreMarg1_1/working/work/d9/25d13d6208d160fc1e911d4533d442/in/47157_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (iyEreMarg1_1)	COMPLETED	-	1	100 MB	1	186ms	8.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (iyEreMarg1_1)	COMPLETED	-	1	100 MB	1	166ms	8.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (iyEreMarg1_1)	COMPLETED	-	1	100 MB	1	104ms	22.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (iyEreMarg1_1)	COMPLETED	-	1	100 MB	1	117ms	11.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	2.3s	86.5%	0.0%	70.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (iyEreMarg1_1)	COMPLETED	-	1	6 GB	1	2s	88.8%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (iyEreMarg1_1)	COMPLETED	-	1	100 MB	1	0ms	26.3%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	1s	90.2%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	3s	115.5%	0.1%	301.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	15ms	47.8%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (iyEreMarg1_1)	COMPLETED	-	1	1 GB	1	0ms	42.4%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (iyEreMarg1_1)	COMPLETED	-	1	100 MB	1	26ms	49.8%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	9s	83.9%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	8s	82.6%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	16ms	109.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyEreMarg1_1)	COMPLETED	-	1	6 GB	1	0ms	80.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	16ms	90.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	13ms	81.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (iyEreMarg1_1)	COMPLETED	-	1	1 GB	1	0ms	42.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	45ms	76.6%	0.0%	5.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyEreMarg1_1)	COMPLETED	-	6	1.5 GB	1	1m 15s	99.9%	0.1%	388 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyEreMarg1_1)	COMPLETED	-	1	1 GB	1	1m 51s	98.7%	0.1%	134 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	10 GB	1	3m 15s	98.2%	2.0%	7.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	4s	99.4%	0.0%	5.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iyEreMarg1_1)	COMPLETED	-	1	8 GB	1	7s	96.0%	0.1%	658.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	551ms	93.9%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	2s	171.1%	0.0%	142.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	1.7s	120.3%	0.0%	9.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (iyEreMarg1_1)	COMPLETED	-	1	6 GB	1	2s	93.7%	0.0%	8.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (iyEreMarg1_1)	COMPLETED	-	1	1 GB	1	2s	94.8%	0.0%	9.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (iyEreMarg1_1)	COMPLETED	-	2	12 GB	1	29ms	97.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (iyEreMarg1_1)	COMPLETED	-	2	1 GB	1	0ms	80.9%	0.0%	3.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (iyEreMarg1_1)	COMPLETED	-	20	50 GB	1	28m 39s	1538.0%	4.3%	16.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_MERGE (iyEreMarg1)	COMPLETED	-	16	50 GB	1	46s	502.4%	0.0%	20.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_SORT (iyEreMarg1)	COMPLETED	-	8	36 GB	1	1m 40s	498.5%	1.6%	6.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_VIEW_FILTER_PRIMARY (iyEreMarg1)	COMPLETED	-	2	12 GB	1	3m 15s	98.4%	0.0%	12 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_BAMTOBED (iyEreMarg1)	COMPLETED	-	6	36 GB	1	1m 51s	99.6%	0.0%	7.5 MB
