---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   disturbed_jepsen
Pipeline_session:   fc2b01bf-2871-4d1c-bfcc-6f5246535fbf
Pipeline_duration:  31835
Pipeline_datastrt:  2023-11-28T11:10:33.626571Z
Pipeline_datecomp:  2023-11-28T20:01:08.847949Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyForRufa2_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyForRufa2_1.yaml
InputAssemblyData:  [[id:iyForRufa2_1, sz:365925320, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Formica_rufa/assembly/draft/treeval/iyForRufa2_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6018030819], /lustre/scratch124/tol/projects/darwin/data/insects/Formica_rufa/assembly/draft/treeval/iyForRufa2_1/working/work/ee/1de011326ff6622aa3a2a7a069ea17/in/m84047_231123_140628_s4.ccs.bc2005.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:39297934026], /lustre/scratch124/tol/projects/darwin/data/insects/Formica_rufa/assembly/draft/treeval/iyForRufa2_1/working/work/f4/b1254c11d2888638965ad47247cdfe/in/41105_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyForRufa2_1)	COMPLETED	-	1	100 MB	1	48ms	79.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyForRufa2_1)	COMPLETED	-	1	100 MB	1	48ms	61.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyForRufa2_1)	COMPLETED	-	1	100 MB	1	32ms	82.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyForRufa2_1)	COMPLETED	-	1	100 MB	1	0ms	47.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyForRufa2_1)	COMPLETED	-	2	12 GB	1	1s	76.8%	0.0%	20.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyForRufa2_1)	COMPLETED	-	2	12 GB	1	3.3s	91.5%	0.0%	37 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyForRufa2_1)	COMPLETED	-	2	12 GB	1	13ms	86.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyForRufa2_1)	COMPLETED	-	2	12 GB	1	1s	135.8%	0.1%	300 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	10s	196.5%	0.4%	2.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyForRufa2_1)	COMPLETED	-	2	12 GB	1	19ms	97.5%	0.0%	0
