---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   insane_hamilton
Pipeline_session:   448fd6bd-fe09-4c81-bc69-90834caec2ab
Pipeline_duration:  20564
Pipeline_datastrt:  2024-03-05T21:45:25.871901Z
Pipeline_datecomp:  2024-03-06T03:28:10.037773Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      iyGelArea1_3
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Gelis_areator/assembly/draft/treeval/iyGelArea1_3/iyGelArea1_3.yaml
InputAssemblyData:  [[id:iyGelArea1_3, sz:467158772, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Gelis_areator/assembly/draft/treeval/iyGelArea1_3/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5002986741], /lustre/scratch124/tol/projects/darwin/data/insects/Gelis_areator/assembly/draft/treeval/iyGelArea1_3/working/work/7e/157404d6ea8022adec3792700c0bbe/in/m84093_231123_140751_s2.ccs.bc1011_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34417579798, cn:8], /lustre/scratch124/tol/projects/darwin/data/insects/Gelis_areator/assembly/draft/treeval/iyGelArea1_3/working/work/60/56cf175ff63debb677ee17a6ab06f2/in/47052_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (iyGelArea1_3)	COMPLETED	-	1	100 MB	1	61ms	38.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (iyGelArea1_3)	COMPLETED	-	1	100 MB	1	118ms	21.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (iyGelArea1_3)	COMPLETED	-	1	100 MB	1	101ms	14.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (iyGelArea1_3)	COMPLETED	-	1	100 MB	1	74ms	25.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (iyGelArea1_3)	COMPLETED	-	2	12 GB	1	3.9s	87.5%	0.0%	83 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (iyGelArea1_3)	COMPLETED	-	1	100 MB	1	0ms	21.1%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (iyGelArea1_3)	COMPLETED	-	2	12 GB	1	1s	93.3%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (iyGelArea1_3)	COMPLETED	-	1	6 GB	1	2s	93.5%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyGelArea1_3)	COMPLETED	-	2	12 GB	1	1s	132.5%	0.1%	296.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (iyGelArea1_3)	COMPLETED	-	1	1 GB	1	0ms	50.3%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (iyGelArea1_3)	COMPLETED	-	1	100 MB	1	25ms	25.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (iyGelArea1_3)	COMPLETED	-	2	12 GB	1	16ms	41.3%	0.0%	2.8 MB
