---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   reverent_kimura
Pipeline_session:   4160c213-06c5-4a76-93f6-986b7756d7f5
Pipeline_duration:  42921
Pipeline_datastrt:  2024-03-22T13:36:48.793424Z
Pipeline_datecomp:  2024-03-23T01:32:10.725976Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      iyMetRube1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/insects/Meteorus_rubens/assembly/draft/treeval/iyMetRube1_1/iyMetRube1_1.yaml
InputAssemblyData:  [[id:iyMetRube1_1, sz:145189150, ln:insects, tk:null], /lustre/scratch124/tol/projects/darwin/data/insects/Meteorus_rubens/assembly/draft/treeval/iyMetRube1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3510240417], /lustre/scratch124/tol/projects/darwin/data/insects/Meteorus_rubens/assembly/draft/treeval/iyMetRube1_1/working/work/45/db942467b7b2297603de36bb606454/in/m84047_240301_112447_s1.ccs.bc2091.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:29725642511, cn:7], /lustre/scratch124/tol/projects/darwin/data/insects/Meteorus_rubens/assembly/draft/treeval/iyMetRube1_1/working/work/ef/2945c77b3a043a775c7b6036cbd0b8/in/47670_4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (iyMetRube1_1)	COMPLETED	-	1	100 MB	1	61ms	60.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (iyMetRube1_1)	COMPLETED	-	1	100 MB	1	59ms	72.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (iyMetRube1_1)	COMPLETED	-	1	100 MB	1	69ms	70.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (iyMetRube1_1)	COMPLETED	-	1	100 MB	1	78ms	84.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (iyMetRube1_1)	COMPLETED	-	1	6 GB	1	1s	85.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (iyMetRube1_1)	COMPLETED	-	1	100 MB	1	0ms	33.5%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	0ms	82.4%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	1.9s	83.7%	0.0%	37.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	17ms	41.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (iyMetRube1_1)	COMPLETED	-	1	1 GB	1	0ms	52.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (iyMetRube1_1)	COMPLETED	-	1	100 MB	1	33ms	38.7%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	1s	144.2%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyMetRube1_1)	COMPLETED	-	1	6 GB	1	0ms	65.0%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	15ms	109.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	14ms	100.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	50ms	55.5%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	34ms	69.6%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	11s	93.2%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	12s	98.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (iyMetRube1_1)	COMPLETED	-	1	1 GB	1	0ms	36.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyMetRube1_1)	COMPLETED	-	6	1.5 GB	1	35s	97.5%	0.1%	339.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyMetRube1_1)	COMPLETED	-	1	1 GB	1	43s	97.8%	0.0%	97.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	2s	99.9%	0.0%	5.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	5 GB	1	1m 34s	96.8%	0.8%	3.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iyMetRube1_1)	COMPLETED	-	1	6 GB	1	1s	95.1%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	228ms	104.4%	0.0%	8.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	970ms	182.7%	0.0%	22.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	834ms	138.5%	0.0%	9.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (iyMetRube1_1)	COMPLETED	-	1	6 GB	1	1s	94.4%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (iyMetRube1_1)	COMPLETED	-	1	1 GB	1	1s	92.4%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (iyMetRube1_1)	COMPLETED	-	2	12 GB	1	28ms	76.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (iyMetRube1_1)	COMPLETED	-	2	1 GB	1	0ms	84.1%	0.0%	4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (iyMetRube1_1)	COMPLETED	-	20	50 GB	1	20m 40s	1850.1%	3.5%	14.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_MERGE (iyMetRube1)	COMPLETED	-	16	50 GB	1	1m 6s	589.6%	0.0%	20.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_SORT (iyMetRube1)	COMPLETED	-	8	36 GB	1	2m 30s	510.8%	1.6%	6.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:SAMTOOLS_VIEW_FILTER_PRIMARY (iyMetRube1)	COMPLETED	-	2	12 GB	1	5m 4s	101.9%	0.0%	11.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_BAMTOBED (iyMetRube1)	COMPLETED	-	6	36 GB	1	3m 8s	99.8%	0.0%	7.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_GENOMECOV (iyMetRube1)	COMPLETED	-	1	6 GB	1	12s	96.7%	0.0%	135.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GNU_SORT (iyMetRube1)	COMPLETED	-	2	12 GB	1	5.1s	183.4%	0.1%	415.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BED2BW_NORMAL (iyMetRube1_1)	COMPLETED	-	2	1 GB	1	7s	98.9%	0.0%	20.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GETMINMAXPUNCHES (iyMetRube1)	COMPLETED	-	1	6 GB	1	2.5s	92.9%	0.0%	9.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GRAPHOVERALLCOVERAGE (iyMetRube1)	COMPLETED	-	1	6 GB	1	8s	95.7%	0.0%	7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_MERGE_MIN (iyMetRube1)	COMPLETED	-	1	6 GB	1	0ms	56.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_MERGE_MAX (iyMetRube1)	COMPLETED	-	1	6 GB	1	0ms	58.3%	0.0%	3.2 MB
