---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   sad_linnaeus
Pipeline_session:   53ee170c-85c0-4cb8-b7da-ed293b9c94ed
Pipeline_duration:  22773
Pipeline_datastrt:  2023-10-30T10:10:21.708827247Z
Pipeline_datecomp:  2023-10-30T16:29:55.350223333Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyMicDepi1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyMicDepi1_1.yaml
InputAssemblyData:  [[id:iyMicDepi1_1, sz:238027550, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Microplitis_deprimator/assembly/draft/treeval/iyMicDepi1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:3986576203], /lustre/scratch124/tol/projects/darwin/data/insects/Microplitis_deprimator/assembly/draft/treeval/iyMicDepi1_1/working/work/58/6db1bbd6050e9a3d9953a3d4ba568d/in/m64229e_230830_141826.ccs.bc1022_BAK8B_OA--bc1022_BAK8B_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:53266031666], /lustre/scratch124/tol/projects/darwin/data/insects/Microplitis_deprimator/assembly/draft/treeval/iyMicDepi1_1/working/work/ca/f5e1c660eb0acba2d4534704f0bee7/in/46220_3#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	37ms	95.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	44ms	78.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	37ms	89.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	1s	57.9%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	0ms	88.8%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	1s	86.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	2.5s	89.7%	0.0%	52.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	7s	184.3%	0.5%	1.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	14ms	59.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	17ms	117.1%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	17ms	77.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	1s	136.9%	0.0%	297.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	0ms	77.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	0ms	35.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	12s	86.3%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	16ms	84.8%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	15ms	58.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	39ms	84.8%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	0ms	38.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	53s	98.3%	0.1%	348.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	57s	99.0%	0.0%	98.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	2m 6s	97.7%	1.4%	5.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	2s	98.9%	0.0%	5.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iyMicDepi1_1)	COMPLETED	-	1	6 GB	1	2s	95.7%	0.2%	623.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	321ms	103.6%	0.0%	8.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	1.5s	183.2%	0.0%	140.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (iyMicDepi1_1)	COMPLETED	-	2	12 GB	1	1.3s	137.7%	0.0%	9.8 MB
