---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   awesome_carson
Pipeline_session:   0f01c06c-8800-415c-9315-8dc7daf0f15d
Pipeline_duration:  27555
Pipeline_datastrt:  2023-09-29T11:41:49.374810745+01:00
Pipeline_datecomp:  2023-09-29T19:21:04.603420163+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyPhiTria1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyPhiTria1_1.yaml
InputAssemblyData:  [[id:iyPhiTria1_1, sz:584814906, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Philanthus_triangulum/assembly/draft/treeval/iyPhiTria1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[5535960141, 5500162413]], [/lustre/scratch124/tol/projects/darwin/data/insects/Philanthus_triangulum/assembly/draft/treeval/iyPhiTria1_1/working/work/07/1d950fb367b00b722aac87207cd8a9/in/m64178e_230921_230313.ccs.bc2065--bc2065.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/insects/Philanthus_triangulum/assembly/draft/treeval/iyPhiTria1_1/working/work/07/1d950fb367b00b722aac87207cd8a9/in/m64178e_230921_230313.ccs.bc2065--bc2065.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:41026703033], /lustre/scratch124/tol/projects/darwin/data/insects/Philanthus_triangulum/assembly/draft/treeval/iyPhiTria1_1/working/work/46/df8056b8a5793e6e8b706f17cc3bab/in/47738_3#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyPhiTria1_1)	COMPLETED	-	1	6 GB	1	38ms	92.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyPhiTria1_1)	COMPLETED	-	1	6 GB	1	43ms	90.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyPhiTria1_1)	COMPLETED	-	1	6 GB	1	50ms	83.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyPhiTria1_1)	COMPLETED	-	2	12 GB	1	1s	94.4%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyPhiTria1_1)	COMPLETED	-	1	6 GB	1	3s	96.8%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyPhiTria1_1)	COMPLETED	-	2	12 GB	1	0ms	61.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyPhiTria1_1)	COMPLETED	-	2	12 GB	1	4s	86.3%	0.0%	57.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyPhiTria1_1)	COMPLETED	-	2	12 GB	1	47ms	12.9%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyPhiTria1_1)	COMPLETED	-	2	12 GB	1	99ms	6.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyPhiTria1_1)	COMPLETED	-	2	12 GB	1	1s	133.1%	0.0%	4.6 MB
