---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   kickass_koch
Pipeline_session:   85fbc18f-1466-43b0-a9ab-bb4ae61b7548
Pipeline_duration:  22125
Pipeline_datastrt:  2023-11-10T11:52:35.135837Z
Pipeline_datecomp:  2023-11-10T18:01:20.291200Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyTenAmoe1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyTenAmoe1_1.yaml
InputAssemblyData:  [[id:iyTenAmoe1_1, sz:203989829, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Tenthredo_amoena/assembly/draft/treeval/iyTenAmoe1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5865320147], /lustre/scratch124/tol/projects/darwin/data/insects/Tenthredo_amoena/assembly/draft/treeval/iyTenAmoe1_1/working/work/bd/f4601f57e1144647a2dbb966ecc864/in/m84047_231020_132559_s2.ccs.bc2040.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:30527694852], /lustre/scratch124/tol/projects/darwin/data/insects/Tenthredo_amoena/assembly/draft/treeval/iyTenAmoe1_1/working/work/69/861e8baf06544a7a6056a2b1fa0451/in/47827_1#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	46ms	102.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	40ms	68.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	37ms	77.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	0ms	101.3%	0.0%	28 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	0ms	17.8%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	1s	95.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	1.8s	90.8%	0.0%	51.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	14ms	110.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	6s	179.3%	0.2%	1.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	41ms	25.5%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	60ms	9.8%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	0ms	70.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	15s	94.9%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	144ms	9.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	13ms	81.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	1s	141.2%	0.0%	300 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	0ms	55.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	17ms	98.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyTenAmoe1_1)	COMPLETED	-	1	6 GB	1	1s	62.4%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	2m	97.1%	1.2%	4.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyTenAmoe1_1)	COMPLETED	-	2	12 GB	1	2m 8s	65.9%	0.1%	369.9 MB
