---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   berserk_elion
Pipeline_session:   075f3c96-a1d5-4bec-9941-b353a98fc092
Pipeline_duration:  18052
Pipeline_datastrt:  2023-09-23T14:18:48.579940950+01:00
Pipeline_datecomp:  2023-09-23T19:19:41.566231038+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyTryAtte1_1
InputYamlFile:      iyTryAtte1.yaml
InputAssemblyData:  [[id:iyTryAtte1_1, sz:221727655, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/iyTryAtte1_1.fa]
Input_PacBio_Files: [[id:pacbio, sz:4451631473], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/e9/5064b7e03af487e37e4201f4d97c78/in/m64125e_221012_050907.ccs.bc1002_BAK8A_OA--bc1002_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42582988884], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/43/b33cbcc3c0e5dca3b1e56ed3d7f7c5/in/38689_3#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyTryAtte1_1)	COMPLETED	-	1	6 GB	1	44ms	95.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyTryAtte1_1)	COMPLETED	-	1	6 GB	1	41ms	87.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyTryAtte1_1)	COMPLETED	-	2	12 GB	1	0ms	62.6%	0.0%	5.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyTryAtte1_1)	COMPLETED	-	2	12 GB	1	15ms	62.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyTryAtte1_1)	COMPLETED	-	2	12 GB	1	3.6s	66.6%	0.0%	42.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyTryAtte1_1)	COMPLETED	-	2	12 GB	1	0ms	11.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	11s	114.0%	0.3%	2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyTryAtte1_1)	COMPLETED	-	1	6 GB	1	2s	91.3%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyTryAtte1_1)	COMPLETED	-	2	12 GB	1	17ms	40.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyTryAtte1_1)	COMPLETED	-	2	12 GB	1	24ms	41.6%	0.0%	0
