---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   magical_faggin
Pipeline_session:   f52da241-a3ff-4c0f-b2a7-cc133e6639d6
Pipeline_duration:  44228
Pipeline_datastrt:  2024-03-14T16:12:15.407243Z
Pipeline_datecomp:  2024-03-15T04:29:24.274956Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaAntXant3_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Anthopleura_xanthogrammica/assembly/draft/treeval/jaAntXant3_1/jaAntXant3_1.yaml
InputAssemblyData:  [[id:jaAntXant3_1, sz:298375135, ln:jellyfish, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Anthopleura_xanthogrammica/assembly/draft/treeval/jaAntXant3_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2819476264], /lustre/scratch124/tol/projects/asg/data/jellyfish/Anthopleura_xanthogrammica/assembly/draft/treeval/jaAntXant3_1/working/work/a5/14cfd80f3556852e3b900870623588/in/m84047_240227_130029_s4.ccs.bc2030.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:31162648438, cn:8], /lustre/scratch124/tol/projects/asg/data/jellyfish/Anthopleura_xanthogrammica/assembly/draft/treeval/jaAntXant3_1/working/work/19/dfbbd2059a58783c334585c230d5a8/in/48086_4#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	9 GB	1	2m 34s	98.2%	1.7%	6.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaAntXant3_1)	CACHED	-	1	100 MB	1	188ms	15.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaAntXant3_1)	CACHED	-	2	12 GB	1	0ms	87.8%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (jaAntXant3_1)	CACHED	-	1	100 MB	1	98ms	18.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (jaAntXant3_1)	CACHED	-	6	1.5 GB	1	58s	100.3%	0.1%	343.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaAntXant3_1)	CACHED	-	1	100 MB	1	22s	2.7%	0.0%	7.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaAntXant3_1)	CACHED	-	1	100 MB	1	170ms	21.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaAntXant3_1)	CACHED	-	2	12 GB	1	2s	78.8%	0.0%	47.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaAntXant3_1)	CACHED	-	1	100 MB	1	106ms	24.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaAntXant3_1)	CACHED	-	1	6 GB	1	2s	95.8%	0.0%	3.1 MB
