---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   confident_lamarr
Pipeline_session:   b4513a42-543a-4f72-8574-58a0eee2d21e
Pipeline_duration:  17447
Pipeline_datastrt:  2024-05-14T14:26:50.671842+01:00
Pipeline_datecomp:  2024-05-14T19:17:38.597059+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaCypSala7_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Cyphastrea_salae/assembly/draft/treeval/jaCypSala7_1/jaCypSala7_1.yaml
InputAssemblyData:  [[id:jaCypSala7_1, sz:734469611, ln:jellyfish, tk:null], /lustre/scratch122/tol/data/5/8/1/7/8/3/Cyphastrea_salae/assembly/draft/treeval/jaCypSala7_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:4623801483], /lustre/scratch122/tol/data/5/8/1/7/8/3/Cyphastrea_salae/assembly/draft/treeval/jaCypSala7_1/working/work/0a/f754526ad4e5b728eeb9843a25bec8/in/m84093_240422_111306_s1.ccs.bc2063.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:48132384823, cn:11], /lustre/scratch122/tol/data/5/8/1/7/8/3/Cyphastrea_salae/assembly/draft/treeval/jaCypSala7_1/working/work/1c/80f50aa34acd5f662c455ee100062e/in/48857_5-6#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaCypSala7_1)	COMPLETED	-	1	100 MB	1	10ms	48.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaCypSala7_1)	COMPLETED	-	1	100 MB	1	14ms	53.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaCypSala7_1)	COMPLETED	-	1	100 MB	1	17ms	45.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaCypSala7_1)	COMPLETED	-	1	6 GB	1	3s	95.5%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaCypSala7_1)	COMPLETED	-	1	100 MB	1	1s	38.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	2s	77.6%	0.0%	66.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	4s	91.7%	0.0%	129.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	13s	98.7%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	16ms	45.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaCypSala7_1)	COMPLETED	-	1	1 GB	1	0ms	53.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (jaCypSala7_1)	COMPLETED	-	1	100 MB	1	33ms	40.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	1s	128.8%	0.1%	305.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	20ms	91.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	14ms	92.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (jaCypSala7_1)	COMPLETED	-	1	6 GB	1	0ms	76.6%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	88ms	20.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (jaCypSala7_1)	COMPLETED	-	1	1 GB	1	0ms	50.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	72ms	90.0%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (jaCypSala7_1)	COMPLETED	-	6	1.5 GB	1	3m 11s	99.8%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (jaCypSala7_1)	COMPLETED	-	25	100 GB	1	5m 4s	821.1%	9.0%	34 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	21 GB	1	6m 37s	98.9%	4.3%	16.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (jaCypSala7_1)	COMPLETED	-	20	100 GB	1	1m 48s	1088.1%	1.6%	11.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (jaCypSala7_1)	COMPLETED	-	1	1 GB	1	4m 32s	98.5%	0.1%	263.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	11s	99.1%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (jaCypSala7_1)	COMPLETED	-	1	6 GB	1	2s	96.6%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	593ms	107.7%	0.0%	8.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	1.9s	152.3%	0.1%	249.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	1.9s	131.0%	0.0%	9.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (jaCypSala7_1)	COMPLETED	-	1	6 GB	1	2s	92.7%	0.0%	10.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (jaCypSala7_1)	COMPLETED	-	1	1 GB	1	3s	94.2%	0.0%	9.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (jaCypSala7_1)	COMPLETED	-	2	12 GB	1	35ms	104.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (jaCypSala7_1)	COMPLETED	-	2	1 GB	1	0ms	96.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (jaCypSala7_1)	COMPLETED	-	16	50 GB	1	31m 31s	1510.8%	6.4%	25.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (jaCypSala7_1)	COMPLETED	-	20	50 GB	1	47m 18s	1977.3%	4.5%	16.9 GB
