---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   irreverent_darwin
Pipeline_session:   4d2b5f01-d530-490b-aa2c-8b6dc9561c74
Pipeline_duration:  8638
Pipeline_datastrt:  2024-06-10T12:08:31.880345+01:00
Pipeline_datecomp:  2024-06-10T14:32:30.793467+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaEchHorr1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Echinopora_horrida/assembly/draft/treeval/jaEchHorr1_1/jaEchHorr1_1.yaml
InputAssemblyData:  [[id:jaEchHorr1_1, sz:741208572, ln:, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Echinopora_horrida/assembly/draft/treeval/jaEchHorr1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[7262272335, 7062973245]], [/lustre/scratch124/tol/projects/asg/data/jellyfish/Echinopora_horrida/assembly/draft/treeval/jaEchHorr1_1/working/work/54/836f299c81374e735f2131a9e9e52e/in/m84047_240227_112339_s1.ccs.bc2046.rmdup.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/jellyfish/Echinopora_horrida/assembly/draft/treeval/jaEchHorr1_1/working/work/54/836f299c81374e735f2131a9e9e52e/in/m84098_240423_115623_s3.ccs.bc2016.rmdup.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:43810633404, cn:9], /lustre/scratch124/tol/projects/asg/data/jellyfish/Echinopora_horrida/assembly/draft/treeval/jaEchHorr1_1/working/work/ac/b8310b7cdc032883fa52786d043ae5/in/48177_2#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaEchHorr1_1)	COMPLETED	-	1	100 MB	1	8ms	121.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaEchHorr1_1)	COMPLETED	-	1	100 MB	1	8ms	95.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaEchHorr1_1)	COMPLETED	-	1	100 MB	1	14ms	103.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	1s	91.0%	0.0%	4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaEchHorr1_1)	COMPLETED	-	1	100 MB	1	0ms	50.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	4.5s	98.5%	0.0%	104.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaEchHorr1_1)	COMPLETED	-	1	6 GB	1	3s	95.5%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaEchHorr1_1)	COMPLETED	-	1	1 GB	1	0ms	62.7%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (jaEchHorr1_1)	COMPLETED	-	1	100 MB	1	18ms	58.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	1s	126.2%	0.1%	309.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	15ms	85.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	14ms	98.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (jaEchHorr1_1)	COMPLETED	-	1	6 GB	1	0ms	72.3%	0.0%	5.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	17ms	68.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	13ms	127.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	77ms	83.9%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (jaEchHorr1_1)	COMPLETED	-	1	1 GB	1	0ms	44.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	51s	98.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (jaEchHorr1_1)	COMPLETED	-	6	1.5 GB	1	3m 35s	100.2%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	21 GB	1	7m 28s	98.8%	4.3%	16.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (jaEchHorr1_1)	COMPLETED	-	1	1 GB	1	6m 59s	98.8%	0.1%	207 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (jaEchHorr1_1)	COMPLETED	-	2	12 GB	1	10s	100.2%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (jaEchHorr1_1)	COMPLETED	-	1	15 GB	1	3s	95.4%	0.6%	1.1 GB
