---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   big_goodall
Pipeline_session:   2ce57724-b5ca-4b92-87e7-bd9a3efd38b9
Pipeline_duration:  33846
Pipeline_datastrt:  2024-05-11T11:43:09.908448+01:00
Pipeline_datecomp:  2024-05-11T21:07:16.059533+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaGorVent5_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/jaGorVent5_1.yaml
InputAssemblyData:  [[id:jaGorVent5_1, sz:374351999, ln:mammals, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Gorgonia_ventalina/assembly/draft/treeval/jaGorVent5_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[7658404115, 2614552634]], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/10/0ae952cc3ccec3f5c20f232ae04793/in/m84047_240419_112744_s2.ccs.bc2055.rmdup.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/10/0ae952cc3ccec3f5c20f232ae04793/in/m84098_240416_102136_s2.ccs.bc2027.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:[44379901844, 48218865963], cn:23], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/d6/1ede25457bace7e0e5da7a978cc45f/in/48177_2#8.cram, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/d6/1ede25457bace7e0e5da7a978cc45f/in/48772_3-4#8.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaGorVent5_1)	COMPLETED	-	1	100 MB	1	12ms	24.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaGorVent5_1)	COMPLETED	-	1	100 MB	1	35ms	18.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaGorVent5_1)	COMPLETED	-	1	100 MB	1	1s	18.5%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaGorVent5_1)	COMPLETED	-	2	12 GB	1	1s	83.3%	0.0%	42.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaGorVent5_1)	COMPLETED	-	1	6 GB	1	2s	92.9%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaGorVent5_1)	COMPLETED	-	2	12 GB	1	2.9s	77.8%	0.0%	81.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GNU_SORT (jaGorVent5_1)	COMPLETED	-	2	12 GB	1	15ms	45.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (jaGorVent5_1)	COMPLETED	-	1	100 MB	1	24ms	26.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (jaGorVent5_1)	COMPLETED	-	2	12 GB	1	15ms	88.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (jaGorVent5_1)	COMPLETED	-	2	12 GB	1	0ms	141.0%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaGorVent5_1)	COMPLETED	-	1	1 GB	1	0ms	51.3%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (jaGorVent5_1)	COMPLETED	-	1	6 GB	1	0ms	69.9%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (jaGorVent5_1)	COMPLETED	-	2	12 GB	1	11ms	55.2%	0.0%	2.8 MB
