---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   peaceful_babbage
Pipeline_session:   ad51f8d9-591e-47ac-afdb-6c7f04118fca
Pipeline_duration:  38084
Pipeline_datastrt:  2024-06-13T15:32:45.258754+01:00
Pipeline_datecomp:  2024-06-14T02:07:29.842604+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaIsoPali11_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/protists/Symbiodinium_sp._240-249/assembly/draft/treeval/jaIsoPali11_1/jaIsoPali11_1.yaml
InputAssemblyData:  [[id:jaIsoPali11_1, sz:553751488, ln:, tk:null], /lustre/scratch124/tol/projects/asg/data/protists/Symbiodinium_sp._240-249/assembly/draft/treeval/jaIsoPali11_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:11940263624], /lustre/scratch124/tol/projects/asg/data/protists/Symbiodinium_sp._240-249/assembly/draft/treeval/jaIsoPali11_1/working/work/a6/83c1ab2298b0d6019d8db7a0e9e0fc/in/m84093_240227_123017_s3.ccs.bc2044.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[69384586392, 72035867303], cn:32], [/lustre/scratch124/tol/projects/asg/data/protists/Symbiodinium_sp._240-249/assembly/draft/treeval/jaIsoPali11_1/working/work/00/8009f25f090e4cd5de2c3f058b7a9b/in/48791_1-2#1.cram, /lustre/scratch124/tol/projects/asg/data/protists/Symbiodinium_sp._240-249/assembly/draft/treeval/jaIsoPali11_1/working/work/00/8009f25f090e4cd5de2c3f058b7a9b/in/48791_1-2#2.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaIsoPali11_1)	COMPLETED	-	1	100 MB	1	10ms	108.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaIsoPali11_1)	COMPLETED	-	1	100 MB	1	11ms	105.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaIsoPali11_1)	COMPLETED	-	1	100 MB	1	10ms	109.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaIsoPali11_1)	COMPLETED	-	2	12 GB	1	0ms	83.0%	0.0%	5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaIsoPali11_1)	COMPLETED	-	1	6 GB	1	2s	94.8%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaIsoPali11_1)	COMPLETED	-	1	100 MB	1	0ms	40.4%	0.0%	4.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaIsoPali11_1)	COMPLETED	-	1	1 GB	1	0ms	39.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (jaIsoPali11_1)	COMPLETED	-	1	100 MB	1	15ms	61.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (jaIsoPali11_1)	COMPLETED	-	2	12 GB	1	14ms	44.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaIsoPali11_1)	COMPLETED	-	2	12 GB	1	3.4s	98.0%	0.0%	85.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (jaIsoPali11_1)	COMPLETED	-	1	6 GB	1	0ms	78.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (jaIsoPali11_1)	COMPLETED	-	2	12 GB	1	13ms	102.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (jaIsoPali11_1)	COMPLETED	-	2	12 GB	1	17ms	61.8%	0.0%	0
