---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   admiring_knuth
Pipeline_session:   600ac201-73b8-49da-8896-780f63ed869f
Pipeline_duration:  19597
Pipeline_datastrt:  2024-04-19T16:25:13.802196+01:00
Pipeline_datecomp:  2024-04-19T21:51:51.373156+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaPluPenn1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Plumapathes_pennacea/assembly/draft/treeval/jaPluPenn1_1/jaPluPenn1_1.yaml
InputAssemblyData:  [[id:jaPluPenn1_1, sz:305019973, ln:jellyfish, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Plumapathes_pennacea/assembly/draft/treeval/jaPluPenn1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:14946679046], /lustre/scratch124/tol/projects/asg/data/jellyfish/Plumapathes_pennacea/assembly/draft/treeval/jaPluPenn1_1/working/work/45/d2fd8a094ee44e56ab02e4cc63ef68/in/m84093_240410_115125_s4.ccs.bc2016.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[35027541972, 22115894939], cn:13], [/lustre/scratch124/tol/projects/asg/data/jellyfish/Plumapathes_pennacea/assembly/draft/treeval/jaPluPenn1_1/working/work/a5/8f07b7451519509a3253fb3c7bd47b/in/48177_4#7.cram, /lustre/scratch124/tol/projects/asg/data/jellyfish/Plumapathes_pennacea/assembly/draft/treeval/jaPluPenn1_1/working/work/a5/8f07b7451519509a3253fb3c7bd47b/in/48772_3-4#3.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaPluPenn1_1)	COMPLETED	-	1	100 MB	1	33ms	97.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaPluPenn1_1)	COMPLETED	-	1	100 MB	1	53ms	72.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (jaPluPenn1_1)	COMPLETED	-	1	100 MB	1	34ms	88.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaPluPenn1_1)	COMPLETED	-	1	100 MB	1	32ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaPluPenn1_1)	COMPLETED	-	2	12 GB	1	1.8s	83.1%	0.0%	87.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaPluPenn1_1)	COMPLETED	-	2	12 GB	1	0ms	99.0%	0.0%	45.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaPluPenn1_1)	COMPLETED	-	1	100 MB	1	0ms	32.4%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaPluPenn1_1)	COMPLETED	-	1	6 GB	1	2s	94.8%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (jaPluPenn1_1)	COMPLETED	-	2	12 GB	1	1s	143.9%	0.0%	2.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaPluPenn1_1)	COMPLETED	-	1	1 GB	1	0ms	29.9%	0.0%	3.2 MB
