---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   compassionate_shannon
Pipeline_session:   0e57b13d-4f3f-47d8-8764-ed7113f151be
Pipeline_duration:  13310
Pipeline_datastrt:  2024-03-28T14:17:28.935240Z
Pipeline_datecomp:  2024-03-28T17:59:19.892815Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaPocGran1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Pocillopora_grandis/assembly/draft/treeval/jaPocGran1_1/jaPocGran1_1.yaml
InputAssemblyData:  [[id:jaPocGran1_1, sz:371420268, ln:jellyfish, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Pocillopora_grandis/assembly/draft/treeval/jaPocGran1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:7854895378], /lustre/scratch124/tol/projects/asg/data/jellyfish/Pocillopora_grandis/assembly/draft/treeval/jaPocGran1_1/working/work/ce/36c97c44d4725d2ca0b33b7724164a/in/m84047_240319_124112_s4.ccs.bc2030.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32554479414, cn:7], /lustre/scratch124/tol/projects/asg/data/jellyfish/Pocillopora_grandis/assembly/draft/treeval/jaPocGran1_1/working/work/ea/51cd005427cb4b39e84bb2522afa05/in/48086_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (jaPocGran1_1)	COMPLETED	-	1	100 MB	1	35ms	95.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaPocGran1_1)	COMPLETED	-	1	100 MB	1	34ms	97.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaPocGran1_1)	COMPLETED	-	1	100 MB	1	33ms	83.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaPocGran1_1)	COMPLETED	-	1	100 MB	1	34ms	79.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaPocGran1_1)	COMPLETED	-	1	100 MB	1	0ms	26.9%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	0ms	87.6%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	2.6s	88.8%	0.0%	152.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaPocGran1_1)	COMPLETED	-	1	6 GB	1	2s	96.4%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaPocGran1_1)	COMPLETED	-	1	1 GB	1	0ms	67.7%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	1s	145.5%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (jaPocGran1_1)	COMPLETED	-	1	100 MB	1	26ms	49.8%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	16ms	42.4%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	21ms	94.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	15ms	94.8%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (jaPocGran1_1)	COMPLETED	-	1	6 GB	1	0ms	78.6%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	19ms	91.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (jaPocGran1_1)	COMPLETED	-	1	1 GB	1	0ms	38.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	49ms	72.7%	0.0%	7.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	24s	97.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	29s	97.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (jaPocGran1_1)	COMPLETED	-	6	1.5 GB	1	1m 39s	99.3%	0.2%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	11 GB	1	3m 33s	98.3%	1.1%	8.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (jaPocGran1_1)	COMPLETED	-	1	1 GB	1	2m 26s	98.4%	0.1%	254.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	4s	99.1%	0.0%	5.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (jaPocGran1_1)	COMPLETED	-	1	8 GB	1	7s	96.5%	0.3%	498.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	445ms	94.5%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	1.4s	156.2%	0.0%	162.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	1.6s	132.9%	0.0%	9.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (jaPocGran1_1)	COMPLETED	-	1	1 GB	1	2s	93.8%	0.0%	9.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (jaPocGran1_1)	COMPLETED	-	1	6 GB	1	8s	96.8%	0.0%	8.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (jaPocGran1_1)	COMPLETED	-	2	12 GB	1	36ms	81.0%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (jaPocGran1_1)	COMPLETED	-	2	1 GB	1	0ms	83.6%	0.0%	3.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (jaPocGran1_1)	COMPLETED	-	20	50 GB	1	1h 6m	1970.3%	1.9%	14.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:CAT_CAT (jaPocGran1)	COMPLETED	-	2	12 GB	1	3s	92.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GNU_SORT_BED (jaPocGran1)	COMPLETED	-	2	12 GB	1	22.3s	177.5%	0.2%	1.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_GENOMECOV (jaPocGran1)	COMPLETED	-	1	6 GB	1	46s	98.8%	0.2%	592.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GNU_SORT_COVBED (jaPocGran1)	COMPLETED	-	2	12 GB	1	17.8s	182.4%	0.2%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:AVGCOV (jaPocGran1)	COMPLETED	-	1	6 GB	1	12.3s	94.3%	0.0%	11.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GETMINMAXPUNCHES (jaPocGran1)	COMPLETED	-	1	6 GB	1	4.3s	95.5%	0.0%	8.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BED2BW_AVGCOV (jaPocGran1)	COMPLETED	-	2	1 GB	1	0ms	76.3%	0.0%	4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_MERGE_MIN (jaPocGran1)	COMPLETED	-	1	6 GB	1	0ms	64.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BEDTOOLS_MERGE_MAX (jaPocGran1)	COMPLETED	-	1	6 GB	1	0ms	43.2%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:BED2BW_NORMAL (jaPocGran1_1)	COMPLETED	-	2	1 GB	1	20s	99.3%	0.0%	9.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GRAPHOVERALLCOVERAGE (jaPocGran1)	COMPLETED	-	1	6 GB	1	12s	97.1%	0.0%	7 MB
