---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   tiny_cray
Pipeline_session:   3a108c9f-c5ac-44d3-81f1-b3331f81f71e
Pipeline_duration:  26384
Pipeline_datastrt:  2024-03-12T16:22:55.039252Z
Pipeline_datecomp:  2024-03-12T23:42:39.553257Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jaSidRadi1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Siderastrea_radians/assembly/draft/treeval/jaSidRadi1_1/jaSidRadi1_1.yaml
InputAssemblyData:  [[id:jaSidRadi1_1, sz:863612860, ln:jellyfish, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Siderastrea_radians/assembly/draft/treeval/jaSidRadi1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[7123614997, 10427862536]], [/lustre/scratch124/tol/projects/asg/data/jellyfish/Siderastrea_radians/assembly/draft/treeval/jaSidRadi1_1/working/work/db/1fade5ff5b21441dd1933bbe472227/in/m84047_240227_122813_s3.ccs.bc2087.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/jellyfish/Siderastrea_radians/assembly/draft/treeval/jaSidRadi1_1/working/work/db/1fade5ff5b21441dd1933bbe472227/in/m84098_240227_131126_s4.ccs.bc2039.rmdup.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:27357123458, cn:6], /lustre/scratch124/tol/projects/asg/data/jellyfish/Siderastrea_radians/assembly/draft/treeval/jaSidRadi1_1/working/work/20/6c2667abb227399c19533151767894/in/48086_4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (jaSidRadi1_1)	COMPLETED	-	1	100 MB	1	100ms	20.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jaSidRadi1_1)	COMPLETED	-	1	100 MB	1	120ms	21.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jaSidRadi1_1)	COMPLETED	-	1	100 MB	1	117ms	11.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jaSidRadi1_1)	COMPLETED	-	1	100 MB	1	101ms	31.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jaSidRadi1_1)	COMPLETED	-	2	12 GB	1	2s	97.5%	0.0%	88.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jaSidRadi1_1)	COMPLETED	-	1	100 MB	1	0ms	22.1%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jaSidRadi1_1)	COMPLETED	-	1	6 GB	1	5s	94.3%	0.0%	4.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jaSidRadi1_1)	COMPLETED	-	2	12 GB	1	4.7s	93.0%	0.0%	172.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jaSidRadi1_1)	COMPLETED	-	1	1 GB	1	0ms	49.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (jaSidRadi1_1)	COMPLETED	-	1	100 MB	1	29ms	22.5%	0.0%	0
