---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   jovial_noether
Pipeline_session:   4518ff0f-5acd-4a54-84a8-83b01a4491dd
Pipeline_duration:  87704
Pipeline_datastrt:  2024-04-04T11:13:31.054625+01:00
Pipeline_datecomp:  2024-04-05T11:35:15.650436+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      jsRhoEscu1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/jellyfish/Rhopilema_esculentum/assembly/draft/treeval/jsRhoEscu1_1/jsRhoEscu1_1.yaml
InputAssemblyData:  [[id:jsRhoEscu1_1, sz:284952324, ln:jellyfish, tk:null], /lustre/scratch124/tol/projects/asg/data/jellyfish/Rhopilema_esculentum/assembly/draft/treeval/jsRhoEscu1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:6095211859], /lustre/scratch124/tol/projects/asg/data/jellyfish/Rhopilema_esculentum/assembly/draft/treeval/jsRhoEscu1_1/working/work/57/278128b5353ec8934b258c515c80a7/in/m64230e_240324_030126.ccs.bc2078--bc2078.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:119340382725, cn:26], /lustre/scratch124/tol/projects/asg/data/jellyfish/Rhopilema_esculentum/assembly/draft/treeval/jsRhoEscu1_1/working/work/d8/aa74c93d8e467b98e6c2e88c84dc12/in/46436_3#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (jsRhoEscu1_1)	COMPLETED	-	1	100 MB	1	40ms	80.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (jsRhoEscu1_1)	COMPLETED	-	1	100 MB	1	57ms	66.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (jsRhoEscu1_1)	COMPLETED	-	1	100 MB	1	50ms	91.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (jsRhoEscu1_1)	COMPLETED	-	1	100 MB	1	49ms	94.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (jsRhoEscu1_1)	COMPLETED	-	1	6 GB	1	2s	96.0%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (jsRhoEscu1_1)	COMPLETED	-	2	12 GB	1	1s	77.3%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (jsRhoEscu1_1)	COMPLETED	-	1	100 MB	1	0ms	30.3%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (jsRhoEscu1_1)	COMPLETED	-	2	12 GB	1	2.6s	91.3%	0.0%	47.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (jsRhoEscu1_1)	COMPLETED	-	2	12 GB	1	18ms	79.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (jsRhoEscu1_1)	COMPLETED	-	1	1 GB	1	0ms	55.7%	0.0%	3.1 MB
