---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   crazy_bell
Pipeline_session:   633a9716-f085-4bd7-9cd3-09c642a99e45
Pipeline_duration:  34379
Pipeline_datastrt:  2023-10-03T14:28:15.659513820+01:00
Pipeline_datecomp:  2023-10-04T00:01:14.884779900+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      kaTriClin1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/kaTriClin1_1.yaml
InputAssemblyData:  [[id:kaTriClin1_1, sz:971831917, ln:chordates, tk:ASG], /lustre/scratch124/tol/projects/asg/data/chordates/Trididemnum_clinides/assembly/draft/treeval/kaTriClin1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[5191453054, 2787398996, 142948639]], [/lustre/scratch124/tol/projects/asg/data/chordates/Trididemnum_clinides/assembly/draft/treeval/kaTriClin1_1/working/work/ca/ba53e3d54259d62581403d8e72c93e/in/m64094e_220619_004540.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.rmdup.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/chordates/Trididemnum_clinides/assembly/draft/treeval/kaTriClin1_1/working/work/ca/ba53e3d54259d62581403d8e72c93e/in/m64125e_230926_163758.ccs.bc2056--bc2056.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/chordates/Trididemnum_clinides/assembly/draft/treeval/kaTriClin1_1/working/work/ca/ba53e3d54259d62581403d8e72c93e/in/m64222e_230531_194018.ccs.bc2014--bc2014.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:29018690722], /lustre/scratch124/tol/projects/asg/data/chordates/Trididemnum_clinides/assembly/draft/treeval/kaTriClin1_1/working/work/18/8a83473b038c6100b0dc9cc9631add/in/47542_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	38ms	100.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	45ms	93.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	44ms	70.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	0ms	52.8%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	1s	97.1%	0.0%	75.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	3s	97.2%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	14ms	58.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	16ms	84.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	13ms	60.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	13.8s	71.6%	0.0%	147.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	14ms	46.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	0ms	86.6%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	0ms	21.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	95ms	98.5%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	28s	207.6%	0.3%	4.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	3m 7s	63.2%	0.0%	3.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_ALIGN (kaTriClin1_1)	COMPLETED	-	16	100 GB	1	2m 17s	1345.9%	2.4%	9.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	12m 22s	3.0%	0.0%	31.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	17ms	84.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	0ms	53.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	13m 37s	99.1%	1.4%	21.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	15m 37s	30.6%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	6m	100.0%	0.1%	267.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	9s	75.8%	0.0%	5.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	20s	25.2%	1.0%	2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	1.2s	99.4%	0.0%	8.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	5.9s	188.1%	0.1%	457.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	5.8s	112.2%	0.0%	9.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (kaTriClin1_1)	COMPLETED	-	1	6 GB	1	1m 1s	8.8%	0.0%	8.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REPLACE_DOTS (kaTriClin1_1)	COMPLETED	-	2	12 GB	1	50ms	73.2%	0.0%	7.4 MB
