---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   jovial_aryabhata
Pipeline_session:   833a2563-1603-4de4-a43a-5f12d7f55468
Pipeline_duration:  13149
Pipeline_datastrt:  2024-05-19T18:52:50.739368+01:00
Pipeline_datecomp:  2024-05-19T22:32:00.333393+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      laTriPals1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/laTriPals1_2.yaml
InputAssemblyData:  [[id:laTriPals1_2, sz:857509455, ln:dicots, tk:null], /lustre/scratch122/tol/data/b/3/6/4/0/c/Triglochin_palustris/assembly/draft/treeval/laTriPals1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:4367220832], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/4c/2b804e4a060d38acfdbf9fa47470b1/in/m64125e_220814_212445.ccs.bc1010_BAK8A_OA--bc1010_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:27115095491, cn:6], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/99/0b5061cb1955187337462b0cd68082/in/48442_5-6#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (laTriPals1_2)	COMPLETED	-	1	100 MB	1	21ms	13.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (laTriPals1_2)	COMPLETED	-	1	100 MB	1	36ms	8.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (laTriPals1_2)	COMPLETED	-	1	100 MB	1	8ms	39.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (laTriPals1_2)	COMPLETED	-	1	100 MB	1	1s	23.1%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (laTriPals1_2)	COMPLETED	-	2	12 GB	1	1s	96.0%	0.0%	112.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (laTriPals1_2)	COMPLETED	-	2	12 GB	1	5.4s	86.5%	0.0%	221.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (laTriPals1_2)	COMPLETED	-	1	6 GB	1	3s	95.8%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (laTriPals1_2)	COMPLETED	-	1	100 MB	1	26ms	24.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GNU_SORT (laTriPals1_2)	COMPLETED	-	2	12 GB	1	16ms	90.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (laTriPals1_2)	COMPLETED	-	2	12 GB	1	13ms	98.5%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (laTriPals1_2)	COMPLETED	-	2	12 GB	1	14ms	77.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (laTriPals1_2)	COMPLETED	-	2	12 GB	1	2s	131.1%	0.1%	303 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (laTriPals1_2)	COMPLETED	-	1	6 GB	1	0ms	79.7%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (laTriPals1_2)	COMPLETED	-	2	12 GB	1	15s	98.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (laTriPals1_2)	COMPLETED	-	1	1 GB	1	1s	43.7%	0.0%	4.3 MB
