---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   nasty_pike
Pipeline_session:   72644fbe-d8b7-458e-8977-f9758294175d
Pipeline_duration:  12938
Pipeline_datastrt:  2023-11-01T10:25:15.967475033Z
Pipeline_datecomp:  2023-11-01T14:00:54.557874685Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      lpCarAren1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/lpCarAren1_1.yaml
InputAssemblyData:  [[id:lpCarAren1_1, sz:359478782, ln:monocots, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_arenaria/assembly/draft/treeval/lpCarAren1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6963685309], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_arenaria/assembly/draft/treeval/lpCarAren1_1/working/work/d1/3e22ec6ea811295632044dbc92f202/in/m64222e_221214_043600.ccs.bc1021_BAK8B_OA--bc1021_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:23303399404], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_arenaria/assembly/draft/treeval/lpCarAren1_1/working/work/5a/00a596a31fecfca28c4eed0ed15706/in/46313_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (lpCarAren1_1)	COMPLETED	-	1	6 GB	1	37ms	79.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (lpCarAren1_1)	COMPLETED	-	1	6 GB	1	41ms	66.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (lpCarAren1_1)	COMPLETED	-	1	6 GB	1	54ms	63.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	0ms	70.1%	0.0%	6.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	2.7s	91.3%	0.0%	48.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (lpCarAren1_1)	COMPLETED	-	1	6 GB	1	1s	95.3%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	0ms	90.7%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	1s	158.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	18ms	81.0%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	11ms	68.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	13ms	59.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	16s	146.5%	0.7%	2.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	16ms	86.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (lpCarAren1_1)	COMPLETED	-	1	6 GB	1	0ms	67.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (lpCarAren1_1)	COMPLETED	-	2	12 GB	1	32ms	76.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (lpCarAren1_1)	COMPLETED	-	1	6 GB	1	0ms	37.2%	0.0%	3.1 MB
