---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   cranky_nightingale
Pipeline_session:   a6dc9869-72c7-47dd-b92d-4cf75b5d7f6b
Pipeline_duration:  27755
Pipeline_datastrt:  2024-03-05T21:45:19.948146Z
Pipeline_datecomp:  2024-03-06T05:27:55.163623Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      lpCarHirt1_3
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_hirta/assembly/draft/treeval/lpCarHirt1_3/lpCarHirt1_3.yaml
InputAssemblyData:  [[id:lpCarHirt1_3, sz:683406549, ln:monocots, tk:null], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_hirta/assembly/draft/treeval/lpCarHirt1_3/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[3482879921, 11389785588]], [/lustre/scratch124/tol/projects/darwin/data/monocots/Carex_hirta/assembly/draft/treeval/lpCarHirt1_3/working/work/aa/1dc48ca66687936bcaa83fef5529d6/in/m64178e_230424_094955.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.rmdup.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_hirta/assembly/draft/treeval/lpCarHirt1_3/working/work/aa/1dc48ca66687936bcaa83fef5529d6/in/m84047_231102_161124_s1.ccs.bc2038.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:37530960342, cn:8], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_hirta/assembly/draft/treeval/lpCarHirt1_3/working/work/05/9f08609e021b5940798bd54415d7b8/in/47489_3#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (lpCarHirt1_3)	COMPLETED	-	1	100 MB	1	195ms	7.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (lpCarHirt1_3)	COMPLETED	-	1	100 MB	1	196ms	7.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (lpCarHirt1_3)	COMPLETED	-	1	100 MB	1	141ms	15.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (lpCarHirt1_3)	COMPLETED	-	1	100 MB	1	188ms	12.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (lpCarHirt1_3)	COMPLETED	-	2	12 GB	1	3.3s	93.2%	0.0%	23.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (lpCarHirt1_3)	COMPLETED	-	2	12 GB	1	1s	75.6%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (lpCarHirt1_3)	COMPLETED	-	1	6 GB	1	4s	96.0%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (lpCarHirt1_3)	COMPLETED	-	2	12 GB	1	0ms	144.0%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (lpCarHirt1_3)	COMPLETED	-	1	1 GB	1	0ms	35.2%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (lpCarHirt1_3)	COMPLETED	-	1	100 MB	1	28ms	44.4%	0.0%	2.8 MB
