---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   loving_spence
Pipeline_session:   d8dfb182-e3c6-40f4-adaa-d6a843e643e9
Pipeline_duration:  32241
Pipeline_datastrt:  2023-11-10T11:53:33.195259Z
Pipeline_datecomp:  2023-11-10T20:50:54.607114Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      lpCarLaev1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/lpCarLaev1_1.yaml
InputAssemblyData:  [[id:lpCarLaev1_1, sz:384686939, ln:monocots, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_laevigata/assembly/draft/treeval/lpCarLaev1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5883356655], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_laevigata/assembly/draft/treeval/lpCarLaev1_1/working/work/85/8e40e20ef6691a798f2a7fe16ec570/in/m64178e_230423_064352.ccs.bc1003_BAK8A_OA--bc1003_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:34093727423], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_laevigata/assembly/draft/treeval/lpCarLaev1_1/working/work/67/460fdabda1712113de832b5d655472/in/47489_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	39ms	107.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	46ms	90.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	42ms	101.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	0ms	54.5%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	1s	80.9%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	2.9s	93.5%	0.0%	43.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	3s	95.6%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	12ms	83.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	1s	147.9%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	10s	195.5%	0.8%	2.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	16ms	42.4%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	13ms	111.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	34ms	83.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	17ms	43.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	0ms	78.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	0ms	53.4%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (lpCarLaev1_1)	COMPLETED	-	1	6 GB	1	0ms	40.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	50ms	87.9%	0.0%	7.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (lpCarLaev1_1)	COMPLETED	-	2	12 GB	1	3m	99.7%	0.1%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	3m 43s	98.3%	2.2%	8.5 GB
