---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   gloomy_picasso
Pipeline_session:   2375ca87-9988-4977-9dfc-4a3f39eb4e93
Pipeline_duration:  33993
Pipeline_datastrt:  2023-11-10T11:53:46.931259Z
Pipeline_datecomp:  2023-11-10T21:20:20.737234Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      lpCarSylv1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/lpCarSylv1_1.yaml
InputAssemblyData:  [[id:lpCarSylv1_1, sz:369417699, ln:monocots, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_sylvatica/assembly/draft/treeval/lpCarSylv1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:2971065387], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_sylvatica/assembly/draft/treeval/lpCarSylv1_1/working/work/66/17d608a005273a9142d356996f2141/in/m64230e_230525_001753.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38604847431], /lustre/scratch124/tol/projects/darwin/data/monocots/Carex_sylvatica/assembly/draft/treeval/lpCarSylv1_1/working/work/a7/4f33199b380ec5d0d68eeb39058171/in/46313_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (lpCarSylv1_1)	COMPLETED	-	1	6 GB	1	57ms	65.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (lpCarSylv1_1)	COMPLETED	-	1	6 GB	1	34ms	81.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (lpCarSylv1_1)	COMPLETED	-	1	6 GB	1	40ms	90.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (lpCarSylv1_1)	COMPLETED	-	1	6 GB	1	2s	92.5%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (lpCarSylv1_1)	COMPLETED	-	2	12 GB	1	2.7s	91.6%	0.0%	45.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (lpCarSylv1_1)	COMPLETED	-	2	12 GB	1	0ms	75.4%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (lpCarSylv1_1)	COMPLETED	-	2	12 GB	1	1s	92.7%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (lpCarSylv1_1)	COMPLETED	-	2	12 GB	1	18ms	74.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (lpCarSylv1_1)	COMPLETED	-	2	12 GB	1	0ms	145.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (lpCarSylv1_1)	COMPLETED	-	2	12 GB	1	15ms	65.0%	0.0%	0
