---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   ridiculous_williams
Pipeline_session:   0d6ac721-82a6-4385-965b-d3206d02fa1e
Pipeline_duration:  16125
Pipeline_datastrt:  2024-07-11T09:27:28.379756+01:00
Pipeline_datecomp:  2024-07-11T13:56:13.738884+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      lpDigSang1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/monocots/Digitaria_sanguinalis/assembly/draft/treeval/lpDigSang1_1/lpDigSang1_1.yaml
InputAssemblyData:  [[id:lpDigSang1_1, sz:928555068, ln:, tk:null], /lustre/scratch122/tol/data/3/d/3/f/6/3/Digitaria_sanguinalis/assembly/draft/treeval/lpDigSang1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:16841913134], /lustre/scratch122/tol/data/3/d/3/f/6/3/Digitaria_sanguinalis/assembly/draft/treeval/lpDigSang1_1/working/work/43/9a26737bab8a1be4b92e2a49134795/in/m84047_230719_145251_s2.ccs.bc2052--bc2052.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38899065884, cn:8], /lustre/scratch122/tol/data/3/d/3/f/6/3/Digitaria_sanguinalis/assembly/draft/treeval/lpDigSang1_1/working/work/0d/9d1646d06e84b06ed7c8ad4aafb8b0/in/47590_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (lpDigSang1_1)	COMPLETED	-	1	100 MB	1	10ms	89.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (lpDigSang1_1)	COMPLETED	-	1	100 MB	1	8ms	111.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (lpDigSang1_1)	COMPLETED	-	1	100 MB	1	9ms	104.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	1s	94.9%	0.0%	90.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (lpDigSang1_1)	COMPLETED	-	1	100 MB	1	0ms	42.3%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (lpDigSang1_1)	COMPLETED	-	1	6 GB	1	3s	91.7%	0.0%	5.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	4.9s	97.6%	0.0%	177.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	275ms	10.5%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (lpDigSang1_1)	COMPLETED	-	1	100 MB	1	27ms	47.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (lpDigSang1_1)	COMPLETED	-	1	1 GB	1	0ms	27.6%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (lpDigSang1_1)	COMPLETED	-	1	6 GB	1	0ms	85.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	63ms	14.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	1s	122.9%	0.1%	314.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	161ms	54.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	43ms	69.6%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (lpDigSang1_1)	COMPLETED	-	1	1 GB	1	0ms	25.6%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (lpDigSang1_1)	COMPLETED	-	2	12 GB	1	47s	99.1%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (lpDigSang1_1)	COMPLETED	-	6	1.5 GB	1	3m 47s	100.1%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	26 GB	1	9m 53s	98.9%	5.4%	20.4 GB
