---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   festering_keller
Pipeline_session:   5c7850f4-79ca-4c92-88eb-19f29b31b40f
Pipeline_duration:  110164
Pipeline_datastrt:  2024-07-11T09:27:45.400166+01:00
Pipeline_datecomp:  2024-07-12T16:03:49.814237+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      lpPoaChai1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/monocots/Poa_chaixii/assembly/draft/treeval/lpPoaChai1_1/lpPoaChai1_1.yaml
InputAssemblyData:  [[id:lpPoaChai1_1, sz:1448410529, ln:, tk:null], /lustre/scratch122/tol/data/0/d/0/b/8/6/Poa_chaixii/assembly/draft/treeval/lpPoaChai1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:16632402098], /lustre/scratch122/tol/data/0/d/0/b/8/6/Poa_chaixii/assembly/draft/treeval/lpPoaChai1_1/working/work/41/feebb18c63e795941b18c8bfdf385b/in/m84047_231116_171213_s4.ccs.bc2091.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:132742983439, cn:30], /lustre/scratch122/tol/data/0/d/0/b/8/6/Poa_chaixii/assembly/draft/treeval/lpPoaChai1_1/working/work/95/d88438597ee4ea917f2fce6f44e549/in/48870_3-4#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (lpPoaChai1_1)	COMPLETED	-	1	100 MB	1	11ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (lpPoaChai1_1)	COMPLETED	-	1	100 MB	1	8ms	82.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (lpPoaChai1_1)	COMPLETED	-	1	100 MB	1	11ms	98.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (lpPoaChai1_1)	COMPLETED	-	2	12 GB	1	8.1s	95.8%	0.1%	438.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (lpPoaChai1_1)	COMPLETED	-	1	6 GB	1	10s	94.3%	0.0%	4.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (lpPoaChai1_1)	COMPLETED	-	2	12 GB	1	3s	97.5%	0.1%	221.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (lpPoaChai1_1)	COMPLETED	-	2	12 GB	1	41ms	37.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (lpPoaChai1_1)	COMPLETED	-	1	1 GB	1	0ms	20.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (lpPoaChai1_1)	COMPLETED	-	1	100 MB	1	46ms	44.9%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (lpPoaChai1_1)	COMPLETED	-	2	12 GB	1	2s	117.1%	0.1%	353.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (lpPoaChai1_1)	COMPLETED	-	2	12 GB	1	56ms	15.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (lpPoaChai1_1)	COMPLETED	-	1	6 GB	1	0ms	91.4%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (lpPoaChai1_1)	COMPLETED	-	2	12 GB	1	53s	95.9%	0.0%	3.5 MB
