---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   hopeful_mahavira
Pipeline_session:   3271cd5a-22aa-490b-8d5a-201f61c3d4e2
Pipeline_duration:  50247
Pipeline_datastrt:  2024-05-19T16:06:40.272636+01:00
Pipeline_datecomp:  2024-05-20T06:04:08.236351+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      mGraGri1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/mammals/Grampus_griseus/assembly/draft/treeval/mGraGri1_1/mGraGri1_1.yaml
InputAssemblyData:  [[id:mGraGri1_1, sz:2696892196, ln:mammals, tk:null], /lustre/scratch122/tol/data/7/4/3/1/5/d/Grampus_griseus/assembly/draft/treeval/mGraGri1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:12380808611], /lustre/scratch122/tol/data/7/4/3/1/5/d/Grampus_griseus/assembly/draft/treeval/mGraGri1_1/working/work/6c/c1279ce059f725a3c1bb8043cfec5a/in/m84098_240508_105540_s3.ccs.bc2026.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:144968855250, cn:30], /lustre/scratch122/tol/data/7/4/3/1/5/d/Grampus_griseus/assembly/draft/treeval/mGraGri1_1/working/work/e5/d1c3ba14f37fa865827a21bfb1a115/in/47478_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (mGraGri1_1)	COMPLETED	-	1	100 MB	1	15ms	58.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (mGraGri1_1)	COMPLETED	-	1	100 MB	1	22ms	68.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (mGraGri1_1)	COMPLETED	-	1	100 MB	1	12ms	58.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (mGraGri1_1)	COMPLETED	-	1	100 MB	1	1s	27.9%	0.0%	6.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (mGraGri1_1)	COMPLETED	-	1	6 GB	1	10s	96.9%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (mGraGri1_1)	COMPLETED	-	2	12 GB	1	5s	70.2%	0.0%	169.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (mGraGri1_1)	COMPLETED	-	2	12 GB	1	16ms	47.1%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (mGraGri1_1)	COMPLETED	-	1	1 GB	1	0ms	51.8%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (mGraGri1_1)	COMPLETED	-	2	12 GB	1	16.4s	95.9%	0.1%	335.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (mGraGri1_1)	COMPLETED	-	2	12 GB	1	39s	99.3%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (mGraGri1_1)	COMPLETED	-	1	100 MB	1	27ms	22.9%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (mGraGri1_1)	COMPLETED	-	2	12 GB	1	13ms	82.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (mGraGri1_1)	COMPLETED	-	2	12 GB	1	15ms	48.1%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (mGraGri1_1)	COMPLETED	-	1	6 GB	1	1s	93.8%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (mGraGri1_1)	COMPLETED	-	2	12 GB	1	6s	124.5%	0.1%	367.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (mGraGri1_1)	COMPLETED	-	2	12 GB	1	24ms	84.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (mGraGri1_1)	COMPLETED	-	2	12 GB	1	257ms	124.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (mGraGri1_1)	COMPLETED	-	1	1 GB	1	0ms	47.6%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (mGraGri1_1)	COMPLETED	-	25	100 GB	1	11m 13s	688.7%	11.1%	41.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (mGraGri1_1)	COMPLETED	-	6	4.5 GB	1	15m 31s	99.7%	1.1%	4.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (mGraGri1_1)	COMPLETED	-	20	100 GB	1	5m 36s	1211.0%	3.9%	14.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	76 GB	1	33m 33s	99.7%	15.7%	59.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (mGraGri1_1)	COMPLETED	-	16	54 GB	1	8m 1s	1435.5%	3.6%	28.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (mGraGri1_1)	COMPLETED	-	1	2 GB	1	37m 40s	99.4%	0.1%	585.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (mGraGri1_1)	COMPLETED	-	2	12 GB	1	11s	99.5%	0.0%	5.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (mGraGri1_1)	COMPLETED	-	1	6 GB	1	10s	97.7%	1.1%	4.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (mGraGri1_1)	COMPLETED	-	2	12 GB	1	3s	102.2%	0.0%	8.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (mGraGri1_1)	COMPLETED	-	2	12 GB	1	7.9s	175.8%	0.3%	1.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (mGraGri1_1)	COMPLETED	-	2	12 GB	1	9.2s	142.0%	0.0%	9.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAP (mGraGri1_1)	COMPLETED	-	1	6 GB	1	5s	95.9%	0.0%	10.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (mGraGri1_1)	COMPLETED	-	1	1 GB	1	9s	96.2%	0.0%	21.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REPLACE_DOTS (mGraGri1_1)	COMPLETED	-	2	12 GB	1	95ms	94.4%	0.0%	8.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (mGraGri1_1)	COMPLETED	-	2	1 GB	1	0ms	95.3%	0.0%	3.8 MB
