---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   lethal_thompson
Pipeline_session:   4ff70352-c55e-4299-84d9-0e32e182a1dc
Pipeline_duration:  195793
Pipeline_datastrt:  2024-04-25T15:42:32.062684+01:00
Pipeline_datecomp:  2024-04-27T22:05:45.858450+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      mMesBid2_1
InputYamlFile:      /lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/mMesBid2_1.yaml
InputAssemblyData:  [[id:mMesBid2_1, sz:2976792089, ln:mammals, tk:null], /lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[13998466780, 14612545796, 12124569737]], [/lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/working/work/29/485ed48ae9ee7b86dec7e3380c58aa/in/m84047_230728_152822_s3.ccs.bc2077.filtered.fasta.gz, /lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/working/work/29/485ed48ae9ee7b86dec7e3380c58aa/in/m84093_231110_114304_s1.ccs.bc2077.filtered.fasta.gz, /lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/working/work/29/485ed48ae9ee7b86dec7e3380c58aa/in/m84098_231208_110305_s1.ccs.bc2057.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:[189719733532, 123942404243], cn:70], [/lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/working/work/c2/bbb326676bf739a7b11b12660fb423/in/47675_2#2.cram, /lustre/scratch124/tol/projects/erga/data/mammals/Mesoplodon_bidens/assembly/draft/treeval/mMesBid2_1/working/work/c2/bbb326676bf739a7b11b12660fb423/in/48453_7-8#2.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (mMesBid2_1)	CACHED	-	1	100 MB	1	1s	33.1%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (mMesBid2_1)	CACHED	-	1	100 MB	1	41ms	71.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	84 GB	1	40m 35s	99.5%	17.4%	65.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (mMesBid2_1)	CACHED	-	2	12 GB	1	4s	98.3%	0.1%	224.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (mMesBid2_1)	CACHED	-	1	100 MB	1	34ms	98.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (mMesBid2_1)	CACHED	-	6	4.5 GB	1	15m 26s	99.9%	1.1%	4.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (mMesBid2_1)	CACHED	-	1	100 MB	1	35ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (mMesBid2_1)	CACHED	-	2	12 GB	1	16.2s	98.1%	0.1%	444.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (mMesBid2_1)	CACHED	-	1	6 GB	1	11s	97.3%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (mMesBid2_1)	CACHED	-	1	2 GB	1	25m 20s	99.4%	0.3%	614.9 MB
