---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   grave_volta
Pipeline_session:   9df24f0e-52c9-4ef6-97f5-af751a5e99b4
Pipeline_duration:  84855
Pipeline_datastrt:  2024-07-10T10:07:00.196054+01:00
Pipeline_datecomp:  2024-07-11T09:41:16.016300+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      mMyoNat1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/mammals/Myotis_nattereri/assembly/draft/treeval/mMyoNat1_2/mMyoNat1_2.yaml
InputAssemblyData:  [[id:mMyoNat1_2, sz:4123417444, ln:, tk:null], /lustre/scratch122/tol/data/1/3/1/0/0/2/Myotis_nattereri/assembly/draft/treeval/mMyoNat1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[8900977861, 5941458688]], [/lustre/scratch122/tol/data/1/3/1/0/0/2/Myotis_nattereri/assembly/draft/treeval/mMyoNat1_2/working/work/02/6b31cc82509a4b08c749e4e3e2df04/in/m84047_240312_125900_s3.ccs.bc2068.filtered.fasta.gz, /lustre/scratch122/tol/data/1/3/1/0/0/2/Myotis_nattereri/assembly/draft/treeval/mMyoNat1_2/working/work/02/6b31cc82509a4b08c749e4e3e2df04/in/m84098_240703_103826_s2.ccs.bc2068.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:83800525575, cn:20], /lustre/scratch122/tol/data/1/3/1/0/0/2/Myotis_nattereri/assembly/draft/treeval/mMyoNat1_2/working/work/9d/ee084a2c5af483f0a4af89bc922c8e/in/48820_7-8#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (merged.fa)	CACHED	-	1	116 GB	1	1h 7m 33s	99.5%	6.0%	90.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (mMyoNat1_2)	CACHED	-	1	100 MB	1	10ms	107.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (mMyoNat1_2)	CACHED	-	1	100 MB	1	11ms	93.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (mMyoNat1_2)	CACHED	-	1	6 GB	1	15s	96.5%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (mMyoNat1_2)	CACHED	-	1	100 MB	1	10ms	80.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (mMyoNat1_2)	CACHED	-	2	12 GB	1	6s	91.5%	0.1%	225.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (mMyoNat1_2)	CACHED	-	2	12 GB	1	26s	98.6%	0.1%	474.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (mMyoNat1_2)	CACHED	-	6	7.5 GB	1	21m 52s	100.1%	2.3%	4.4 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (mMyoNat1_2)	CACHED	-	1	3 GB	1	44m 32s	99.6%	0.2%	624 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (mMyoNat1_2)	CACHED	-	2	12 GB	1	49s	99.6%	0.0%	3.4 MB
