---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   drunk_payne
Pipeline_session:   15f39181-ed8d-4a39-b26c-f162e80c8054
Pipeline_duration:  14762
Pipeline_datastrt:  2024-05-14T19:04:47.962064+01:00
Pipeline_datecomp:  2024-05-14T23:10:50.917219+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      ngDicVivi2_1
InputYamlFile:      /lustre/scratch124/tol/projects/tol/data/nematodes/Dictyocaulus_viviparus/assembly/draft/treeval/ngDicVivi2_1/ngDicVivi2_1.yaml
InputAssemblyData:  [[id:ngDicVivi2_1, sz:187891774, ln:nematode, tk:null], /lustre/scratch122/tol/data/b/6/c/5/d/9/Dictyocaulus_viviparus/assembly/draft/treeval/ngDicVivi2_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2558299426], /lustre/scratch122/tol/data/b/6/c/5/d/9/Dictyocaulus_viviparus/assembly/draft/treeval/ngDicVivi2_1/working/work/fa/c11ac9ff6e706167996c917ede0075/in/m84098_240427_113102_s4.ccs.bc2091.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43674037639, cn:11], /lustre/scratch122/tol/data/b/6/c/5/d/9/Dictyocaulus_viviparus/assembly/draft/treeval/ngDicVivi2_1/working/work/7c/77699cd62220d5b4a251676aaf7e82/in/48587_5-6#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (ngDicVivi2_1)	COMPLETED	-	1	100 MB	1	9ms	61.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (ngDicVivi2_1)	COMPLETED	-	1	100 MB	1	9ms	53.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (ngDicVivi2_1)	COMPLETED	-	1	100 MB	1	8ms	66.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (ngDicVivi2_1)	COMPLETED	-	1	100 MB	1	1s	27.6%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (ngDicVivi2_1)	COMPLETED	-	2	12 GB	1	1.4s	61.2%	0.0%	4.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (ngDicVivi2_1)	COMPLETED	-	1	6 GB	1	1s	96.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (ngDicVivi2_1)	COMPLETED	-	2	12 GB	1	0ms	101.4%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (ngDicVivi2_1)	COMPLETED	-	2	12 GB	1	1s	131.2%	0.0%	2.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (ngDicVivi2_1)	COMPLETED	-	1	100 MB	1	33ms	56.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (ngDicVivi2_1)	COMPLETED	-	2	12 GB	1	25ms	81.0%	0.0%	3 MB
