---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   spontaneous_ritchie
Pipeline_session:   64db53cc-5c1b-49b4-824c-ada7fa75b5d8
Pipeline_duration:  19675
Pipeline_datastrt:  2024-04-03T20:16:59.713354232+01:00
Pipeline_datecomp:  2024-04-04T01:44:55.291967482+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      nxOstOste4_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/nxOstOste4_1.yaml
InputAssemblyData:  [[id:nxOstOste4_1, sz:425422936, ln:nematode, tk:null], /lustre/scratch123/tol/projects/tol-nematodes/data/Ostertagia/Ostertagia_ostertagi/assembly/draft/treeval/nxOstOste4_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6467136703, 6467136703]], [/lustre/scratch123/tol/teams/tola/users/yy5/sc_test/treeval/work/b6/3876e46eff5d9e5ed5485e1b7c6b24/in/demultiplex.bc2001--bc2001.demux.correct_i5_D501--correct_i7_D701.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/sc_test/treeval/work/b6/3876e46eff5d9e5ed5485e1b7c6b24/in/nxOstOste4_hifi_reads.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:41120995414, cn:10], /lustre/scratch123/tol/teams/tola/users/yy5/sc_test/treeval/work/2b/609088d20781a6999e8cad984dd5f9/in/48587_5-6#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (nxOstOste4_1)	COMPLETED	-	1	100 MB	1	162ms	17.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (nxOstOste4_1)	COMPLETED	-	1	100 MB	1	81ms	25.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (nxOstOste4_1)	COMPLETED	-	1	100 MB	1	88ms	36.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (nxOstOste4_1)	COMPLETED	-	1	100 MB	1	99ms	24.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (nxOstOste4_1)	COMPLETED	-	1	100 MB	1	1s	21.4%	0.0%	1.9 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (nxOstOste4_1)	COMPLETED	-	1	6 GB	1	3s	94.7%	0.0%	4.7 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (nxOstOste4_1)	COMPLETED	-	2	12 GB	1	0ms	99.9%	0.0%	21.8 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (nxOstOste4_1)	COMPLETED	-	1	6 GB	1	8s	93.3%	0.3%	684.5 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (nxOstOste4_1)	COMPLETED	-	2	12 GB	1	2.7s	81.2%	0.0%	152.5 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (nxOstOste4_1)	COMPLETED	-	2	12 GB	1	9s	88.4%	0.0%	191 MB
