---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   jovial_albattani
Pipeline_session:   6536489c-b6dc-492f-9b94-a3c2dfb919ff
Pipeline_duration:  19955
Pipeline_datastrt:  2024-05-12T11:01:56.520140+01:00
Pipeline_datecomp:  2024-05-12T16:34:31.704724+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      nxPanSpea1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/nxPanSpea1_1.yaml
InputAssemblyData:  [[id:nxPanSpea1_1, sz:321470822, ln:nematode, tk:null], /lustre/scratch123/tol/projects/tol-nematodes/data/Panagrolaimus/Panagrolaimus_sp._PS1579/assembly/draft/treeval/nxPanSpea1_1/raw/nxPanSpea1.hifiasm_yahs.v09032024.primary.decontaminated.fa]
Input_PacBio_Files: [[id:read, sz:[3041630, 68525690, 816846979, 895572613]], [/lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/22/533512cb9f62746cb7708bfc5892d8/in/demultiplex.bc1002_BAK8A_OA--bc1002_BAK8A_OA_1.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/22/533512cb9f62746cb7708bfc5892d8/in/demultiplex.bc1002_BAK8A_OA--bc1002_BAK8A_OA_2.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/22/533512cb9f62746cb7708bfc5892d8/in/demultiplex.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/22/533512cb9f62746cb7708bfc5892d8/in/demultiplex.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:40297555799, cn:9], /lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/72/276fccee844cbf8ed533a638c87481/in/40987_2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (nxPanSpea1_1)	COMPLETED	-	1	100 MB	1	13ms	61.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (nxPanSpea1_1)	COMPLETED	-	1	100 MB	1	52ms	16.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (nxPanSpea1_1)	COMPLETED	-	1	100 MB	1	42ms	7.6%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (nxPanSpea1_1)	COMPLETED	-	1	100 MB	1	13ms	14.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (nxPanSpea1_1)	COMPLETED	-	1	100 MB	1	1s	23.4%	0.0%	6.3 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (nxPanSpea1_1)	COMPLETED	-	2	12 GB	1	1s	78.1%	0.0%	4.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (nxPanSpea1_1)	COMPLETED	-	1	6 GB	1	2s	92.8%	0.0%	4.6 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host27008cds)	COMPLETED	-	6	64 GB	1	10s	242.8%	2.1%	3.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host5000cdna)	COMPLETED	-	6	64 GB	1	10s	237.7%	2.1%	3.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host18005cds)	COMPLETED	-	6	64 GB	1	11s	245.1%	2.1%	3.9 GB
