---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   nice_bartik
Pipeline_session:   7e22f966-7a65-4769-aa0e-b630831b8e31
Pipeline_duration:  7706
Pipeline_datastrt:  2024-04-26T09:17:30.223937+01:00
Pipeline_datecomp:  2024-04-26T11:25:56.725178+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      nxPanSupe1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/nxPanSupe1_1.yaml
InputAssemblyData:  [[id:nxPanSupe1_1, sz:105255887, ln:nematode, tk:null], /lustre/scratch123/tol/projects/tol-nematodes/data/Panagrolaimus/Panagrolaimus_superbus/assembly/draft/treeval/nxPanSupe1_1/hap1.fa]
Input_PacBio_Files: [[id:read, sz:[403374603, 4486910546]], [/lustre/scratch123/tol/projects/tol-nematodes/data/Panagrolaimus/Panagrolaimus_superbus/assembly/draft/treeval/work/bb/409c9230a5f111ccd462b0ab7f9062/in/demultiplex.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz, /lustre/scratch123/tol/projects/tol-nematodes/data/Panagrolaimus/Panagrolaimus_superbus/assembly/draft/treeval/work/bb/409c9230a5f111ccd462b0ab7f9062/in/demultiplex.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:30448984440, cn:7], /lustre/scratch123/tol/projects/tol-nematodes/data/Panagrolaimus/Panagrolaimus_superbus/assembly/draft/treeval/work/b9/60038dad236a93e175ffab0c264df6/in/41949_2#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (nxPanSupe1_1)	CACHED	-	1	100 MB	1	110ms	29.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (OscheiusTipulae7cdna)	CACHED	-	6	70 GB	1	23s	387.3%	1.0%	3.8 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (CaenorhabditisElegans7cdna)	CACHED	-	6	70 GB	1	11m 45s	522.5%	1.9%	7.2 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (nxPanSupe1_1)	CACHED	-	2	12 GB	1	3s	65.8%	0.0%	83.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CaenorhabditisElegans16007rna)	CACHED	-	6	70 GB	1	5s	209.8%	0.4%	1.7 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CaenorhabditisElegans30014cds)	CACHED	-	6	70 GB	1	4s	220.0%	0.4%	1.6 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (nxPanSupe1_1)	CACHED	-	2	12 GB	1	3s	69.8%	0.0%	85.2 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (nxPanSupe1_1)	CACHED	-	1	6 GB	1	2s	81.0%	0.1%	222.6 MB
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (nxPanSupe1_1)	CACHED	-	1	100 MB	1	133ms	25.6%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CaenorhabditisElegans6002cds)	CACHED	-	6	70 GB	1	4s	207.8%	0.4%	1.5 GB
