---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   dreamy_feynman
Pipeline_session:   2c8a6218-41c0-4e0c-90bc-5174fd43de3b
Pipeline_duration:  8447
Pipeline_datastrt:  2024-04-23T14:27:22.728571698+01:00
Pipeline_datecomp:  2024-04-23T16:48:10.483036512+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      nxSphBomb6_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/nxSphBomb6_1.yaml
InputAssemblyData:  [[id:nxSphBomb6_1, sz:112066703, ln:nematode, tk:null], /lustre/scratch123/tol/projects/tol-nematodes/data/Sphaerularia/Sphaerularia_bombi/assembly/draft/treeval/nxSphBomb6_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[2657703969, 2657703969]], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/0f/eee1e4404577c4255b4c79bcb66caf/in/demultiplex.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/0f/eee1e4404577c4255b4c79bcb66caf/in/nxSphBomb6_hifi_reads.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:21472105947, cn:5], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/8c/c36c96efac473bd98cdb6cf113ba9f/in/46436_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (nxSphBomb6_1)	COMPLETED	-	1	100 MB	1	179ms	15.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (nxSphBomb6_1)	COMPLETED	-	1	100 MB	1	188ms	15.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (nxSphBomb6_1)	COMPLETED	-	1	100 MB	1	169ms	13.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (nxSphBomb6_1)	COMPLETED	-	1	100 MB	1	217ms	16.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (nxSphBomb6_1)	COMPLETED	-	2	12 GB	1	1.1s	71.8%	0.0%	4.4 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host9002cds)	COMPLETED	-	6	64 GB	1	5s	220.4%	0.2%	1.5 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (nxSphBomb6_1)	COMPLETED	-	1	100 MB	1	0ms	25.5%	0.0%	3.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (nxSphBomb6_1)	COMPLETED	-	2	12 GB	1	3s	64.3%	0.0%	38.2 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (nxSphBomb6_1)	COMPLETED	-	1	6 GB	1	3s	91.5%	0.0%	167.7 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (nxSphBomb6_1)	COMPLETED	-	2	12 GB	1	1s	97.6%	0.0%	16.3 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (nxSphBomb6_1)	COMPLETED	-	1	6 GB	1	1s	89.8%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (nxSphBomb6_1)	COMPLETED	-	2	12 GB	1	3s	64.6%	0.0%	36.5 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (nxSphBomb6_1)	COMPLETED	-	6	50 GB	1	2s	292.3%	0.2%	697 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host30009cds)	COMPLETED	-	6	64 GB	1	5s	228.8%	0.4%	1.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host5232cdna)	COMPLETED	-	6	64 GB	1	5s	213.0%	0.4%	1.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host12003rna)	COMPLETED	-	6	64 GB	1	10s	293.9%	0.7%	2.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (Gae_host18005cds)	COMPLETED	-	6	64 GB	1	5s	236.7%	0.4%	1.5 GB
