---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   backstabbing_varahamihira
Pipeline_session:   a6204280-2b36-47c6-81e2-5e6d728f33d0
Pipeline_duration:  6449
Pipeline_datastrt:  2023-12-31T09:48:04.237968Z
Pipeline_datecomp:  2023-12-31T11:35:33.343645Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      odCraCram1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/odCraCram1_1.yaml
InputAssemblyData:  [[id:odCraCram1_1, sz:148844061, ln:sponges, tk:null], /lustre/scratch124/tol/projects/asg/data/sponges/Crambe_crambe/assembly/draft/treeval/odCraCram1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:18440342224], /lustre/scratch124/tol/projects/asg/data/sponges/Crambe_crambe/assembly/draft/treeval/odCraCram1_1/working/work/9f/a5355144420ebc6e5a501a4ae071e0/in/m84047_230725_140444_s4.ccs.bc2073.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:57363315687, cn:12], /lustre/scratch124/tol/projects/asg/data/sponges/Crambe_crambe/assembly/draft/treeval/odCraCram1_1/working/work/05/6e2ad051b5384f196fcc9174ce36b7/in/48179_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae8003cds)	CACHED	-	6	100 GB	1	6s	219.2%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE2316cdna)	CACHED	-	6	100 GB	1	7s	246.1%	0.3%	2.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE236002cds)	CACHED	-	6	100 GB	1	6s	219.1%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE237332cds)	CACHED	-	6	100 GB	1	6s	214.9%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae6002rna)	CACHED	-	6	100 GB	1	7s	217.1%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE232000cds)	CACHED	-	6	100 GB	1	6s	217.8%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae2000rna)	CACHED	-	6	100 GB	1	6s	216.4%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (odCraCram1_1)	CACHED	-	2	12 GB	1	4s	71.0%	0.0%	40 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (odCraCram1_1)	CACHED	-	2	12 GB	1	1s	99.4%	0.0%	14.3 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (odCraCram1_1)	CACHED	-	1	100 MB	1	1s	62.3%	0.0%	3 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi21cdna)	CACHED	-	6	100 GB	1	11s	265.1%	0.7%	2.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE236002rna)	CACHED	-	6	100 GB	1	6s	208.6%	0.3%	2.2 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (odCraCram1_1)	CACHED	-	2	12 GB	1	677ms	99.9%	0.0%	17.3 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	5 GB	1	1m 19s	96.4%	0.8%	3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae29cdna)	CACHED	-	6	100 GB	1	11s	256.4%	0.3%	2.6 GB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (odCraCram1_1)	CACHED	-	2	12 GB	1	33s	98.0%	0.1%	316.2 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae8003rna)	CACHED	-	6	100 GB	1	6s	220.6%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi4001cds)	CACHED	-	6	100 GB	1	6s	217.8%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE234001rna)	CACHED	-	6	100 GB	1	6s	219.3%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae9843cds)	CACHED	-	6	100 GB	1	6s	218.3%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (odCraCram1_1)	CACHED	-	2	12 GB	1	4s	71.2%	0.0%	37.6 MB
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (sponges)	CACHED	-	1	6 GB	1	26ms	50.0%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi11593cds)	CACHED	-	6	100 GB	1	6s	216.7%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae9843rna)	CACHED	-	6	100 GB	1	6s	216.9%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (odCraCram1_1)	CACHED	-	1	6 GB	1	0ms	95.6%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi2000cds)	CACHED	-	6	100 GB	1	7s	207.8%	0.3%	2.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE234001cds)	CACHED	-	6	100 GB	1	6s	218.2%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (odCraCram1_1)	CACHED	-	6	36 GB	1	3s	291.2%	0.7%	1.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae6002cds)	CACHED	-	6	100 GB	1	6s	217.8%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:BUSCO_ANNOTATION:BUSCO (odCraCram1_1)	CACHED	-	16	50 GB	1	19m 47s	1414.7%	1.9%	8.7 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae2000cds)	CACHED	-	6	100 GB	1	6s	219.4%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (odCraCram1_1)	CACHED	-	2	12 GB	1	4s	71.7%	0.0%	37.9 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (odCraCram1_1)	CACHED	-	10	120 GB	1	2s	93.2%	0.0%	195.3 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi158rna)	CACHED	-	6	100 GB	1	6s	212.5%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	CACHED	-	6	36 GB	1	5s	181.9%	0.3%	1.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi10004cds)	CACHED	-	6	100 GB	1	6s	216.0%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE237332rna)	CACHED	-	6	100 GB	1	5s	218.1%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi6002cds)	CACHED	-	6	100 GB	1	6s	217.2%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaOrbi8003cds)	CACHED	-	6	100 GB	1	6s	216.7%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae4001rna)	CACHED	-	6	100 GB	1	6s	217.5%	0.3%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CoccomyxaSubellipsoidae4001cds)	CACHED	-	6	100 GB	1	6s	217.6%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (PicochlorumBPE232000rna)	CACHED	-	6	100 GB	1	5s	221.6%	0.6%	2.3 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (odCraCram1_1)	CACHED	-	1	100 MB	1	42ms	87.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (DLE1)	CACHED	-	2	12 GB	1	0ms	83.0%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:CHUNKFASTA (odCraCram1_1)	CACHED	-	2	12 GB	1	2s	90.2%	0.0%	36.8 MB
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (odCraCram1_1)	CACHED	-	1	100 MB	1	38ms	92.3%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (odCraCram1_1)	CACHED	-	1	100 MB	1	38ms	90.6%	0.0%	0
