---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   cranky_bohr
Pipeline_session:   54317cf5-a144-44e9-aee4-5a0b8ec55a5d
Pipeline_duration:  34627
Pipeline_datastrt:  2024-02-06T12:54:38.617829Z
Pipeline_datecomp:  2024-02-06T22:31:45.689479Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      odHalIndi2_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/odHalIndi2_1.yaml
InputAssemblyData:  [[id:odHalIndi2_1, sz:185018322, ln:sponges, tk:null], /lustre/scratch124/tol/projects/asg/data/sponges/Haliclona_indistincta/assembly/draft/treeval/odHalIndi2_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:3412465217], /lustre/scratch124/tol/projects/asg/data/sponges/Haliclona_indistincta/assembly/draft/treeval/odHalIndi2_1/working/work/49/b9c5c57b2ba6b37a18c0d638904c70/in/m84098_240119_113236_s1.ccs.bc2030.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:32399731999, cn:7], /lustre/scratch124/tol/projects/asg/data/sponges/Haliclona_indistincta/assembly/draft/treeval/odHalIndi2_1/working/work/d0/d79075471d1c3083d52e9b622df14f/in/48340_7-8#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:GrabFiles (odHalIndi2_1)	COMPLETED	-	1	100 MB	1	36ms	111.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (odHalIndi2_1)	COMPLETED	-	1	100 MB	1	38ms	98.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (odHalIndi2_1)	COMPLETED	-	1	100 MB	1	44ms	66.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:GrabFiles (odHalIndi2_1)	COMPLETED	-	1	100 MB	1	33ms	104.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	0ms	72.6%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	1.2s	66.7%	0.0%	5.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (odHalIndi2_1)	COMPLETED	-	1	100 MB	1	1s	23.2%	0.0%	12.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (odHalIndi2_1)	COMPLETED	-	1	6 GB	1	1s	97.1%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (odHalIndi2_1)	COMPLETED	-	1	100 MB	1	27ms	47.2%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	18ms	122.3%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	14ms	121.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	9s	88.3%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:CAT_CAT (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	9s	96.4%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (odHalIndi2_1)	COMPLETED	-	2	12 GB	1	0ms	133.3%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (odHalIndi2_1)	COMPLETED	-	1	6 GB	1	1s	65.2%	0.0%	3.1 MB
