---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   scruffy_roentgen
Pipeline_session:   3a40ee9e-7fef-4258-b1a5-13b0bc184e4f
Pipeline_duration:  8194
Pipeline_datastrt:  2024-05-31T11:36:55.287169+01:00
Pipeline_datecomp:  2024-05-31T13:53:29.973688+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      odSpoOffi1_2
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/sponges/Spongia_officinalis/assembly/draft/treeval/odSpoOffi1_2/odSpoOffi1_2.yaml
InputAssemblyData:  [[id:odSpoOffi1_2, sz:1044338570, ln:, tk:null], /lustre/scratch124/tol/projects/asg/data/sponges/Spongia_officinalis/assembly/draft/treeval/odSpoOffi1_2/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[7528375439, 10928561399]], [/lustre/scratch124/tol/projects/asg/data/sponges/Spongia_officinalis/assembly/draft/treeval/odSpoOffi1_2/working/work/6c/ec4de912feba216794fee7482c290c/in/m84047_240411_120719_s4.ccs.bc2017.rmdup.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/sponges/Spongia_officinalis/assembly/draft/treeval/odSpoOffi1_2/working/work/6c/ec4de912feba216794fee7482c290c/in/m84098_240325_121033_s1.ccs.bc2079.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:29929340045, cn:7], /lustre/scratch124/tol/projects/asg/data/sponges/Spongia_officinalis/assembly/draft/treeval/odSpoOffi1_2/working/work/9f/2193fb87bffe1a0f2f5e865a881ebc/in/48810_3-4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (odSpoOffi1_2)	CACHED	-	1	100 MB	1	1s	23.7%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (odSpoOffi1_2)	CACHED	-	2	12 GB	1	1s	99.3%	0.0%	79.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (odSpoOffi1_2)	CACHED	-	6	3 GB	1	5m 10s	100.1%	0.6%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (odSpoOffi1_2)	CACHED	-	2	12 GB	1	5.4s	94.3%	0.0%	154.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	30 GB	1	17m 38s	99.1%	5.5%	23 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (odSpoOffi1_2)	CACHED	-	1	6 GB	1	6s	95.5%	0.0%	5.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (odSpoOffi1_2)	CACHED	-	1	100 MB	1	9ms	146.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (odSpoOffi1_2)	CACHED	-	1	100 MB	1	13ms	92.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (odSpoOffi1_2)	CACHED	-	1	100 MB	1	11ms	91.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (odSpoOffi1_2)	CACHED	-	1	1 GB	1	6m 31s	98.9%	0.1%	279 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (odSpoOffi1_2)	CACHED	-	2	12 GB	1	1s	132.4%	0.0%	302.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (odSpoOffi1_2)	CACHED	-	16	50 GB	1	1h 22m 8s	1487.5%	3.6%	27.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (odSpoOffi1_2)	CACHED	-	2	12 GB	1	1m 14s	86.7%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (odSpoOffi1_2)	CACHED	-	1	1 GB	1	0ms	54.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (odSpoOffi1_2)	CACHED	-	16	50 GB	1	1h 25m 18s	1508.1%	1.7%	27.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (odSpoOffi1_2)	CACHED	-	16	50 GB	1	1h 19m 22s	1553.0%	7.2%	27.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (odSpoOffi1_2)	CACHED	-	16	50 GB	1	1h 14m 50s	1554.4%	15.0%	28.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (odSpoOffi1_2)	CACHED	-	2	12 GB	1	5s	99.6%	0.0%	6.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (odSpoOffi1_2)	CACHED	-	20	50 GB	1	1h 14m 38s	1966.0%	4.7%	18.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (odSpoOffi1_2)	CACHED	-	16	50 GB	1	35m 9s	1548.8%	3.6%	28.1 GB
