---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   fervent_hoover
Pipeline_session:   ec497f23-c0f4-41c1-bb01-b0f81142b143
Pipeline_duration:  23568
Pipeline_datastrt:  2024-07-15T15:06:54.569349+01:00
Pipeline_datecomp:  2024-07-15T21:39:42.730399+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      odTetCali1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/sponges/Tethya_californiana/assembly/draft/treeval/odTetCali1_1/odTetCali1_1.yaml
InputAssemblyData:  [[id:odTetCali1_1, sz:118183555, ln:, tk:null], /lustre/scratch122/tol/data/0/9/d/a/f/9/Tethya_californiana/assembly/draft/treeval/odTetCali1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:6784521813], /lustre/scratch122/tol/data/0/9/d/a/f/9/Tethya_californiana/assembly/draft/treeval/odTetCali1_1/working/work/64/926b818051e7a4a55297a81e38ad1e/in/m84047_240625_101411_s1.ccs.bc2063.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33253290268, cn:8], /lustre/scratch122/tol/data/0/9/d/a/f/9/Tethya_californiana/assembly/draft/treeval/odTetCali1_1/working/work/eb/1ec9cd55519e0eeeda2c03855b1c54/in/49140_7-8#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (odTetCali1_1)	COMPLETED	-	1	100 MB	1	9ms	96.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (odTetCali1_1)	COMPLETED	-	1	100 MB	1	8ms	95.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (odTetCali1_1)	COMPLETED	-	1	100 MB	1	8ms	111.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (odTetCali1_1)	COMPLETED	-	1	6 GB	1	1s	91.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (odTetCali1_1)	COMPLETED	-	2	12 GB	1	0ms	56.6%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (odTetCali1_1)	COMPLETED	-	2	12 GB	1	743ms	95.3%	0.0%	20.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (odTetCali1_1)	COMPLETED	-	1	6 GB	1	0ms	77.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (odTetCali1_1)	COMPLETED	-	1	100 MB	1	47ms	44.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (odTetCali1_1)	COMPLETED	-	2	12 GB	1	55ms	32.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (odTetCali1_1)	COMPLETED	-	2	12 GB	1	31ms	27.6%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (odTetCali1_1)	COMPLETED	-	2	12 GB	1	28ms	49.4%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (odTetCali1_1)	COMPLETED	-	1	1 GB	1	1s	26.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (odTetCali1_1)	COMPLETED	-	2	12 GB	1	1s	123.6%	0.0%	2.8 MB
