---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   trusting_ritchie
Pipeline_session:   ee6120d5-7b75-48d3-93dd-cb5ce223ed11
Pipeline_duration:  28926
Pipeline_datastrt:  2024-03-19T13:08:38.038060Z
Pipeline_datecomp:  2024-03-19T21:10:44.475366Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      peDipJapo1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/protists/Diplonema_japonicum/assembly/draft/treeval/peDipJapo1_1/peDipJapo1_1.yaml
InputAssemblyData:  [[id:peDipJapo1_1, sz:63448218, ln:protists, tk:null], /lustre/scratch124/tol/projects/asg/data/protists/Diplonema_japonicum/assembly/draft/treeval/peDipJapo1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:2012983430], /lustre/scratch124/tol/projects/asg/data/protists/Diplonema_japonicum/assembly/draft/treeval/peDipJapo1_1/working/work/e7/997dda278bf8226fac0a3004c00bd1/in/m64016e_220619_005153.ccs.bc1002_BAK8A_OA--bc1002_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[34204880931, 43488399444], cn:16], [/lustre/scratch124/tol/projects/asg/data/protists/Diplonema_japonicum/assembly/draft/treeval/peDipJapo1_1/working/work/d0/0063d88d9f330b7eef569dcbcfc3b8/in/42130_4#3.cram, /lustre/scratch124/tol/projects/asg/data/protists/Diplonema_japonicum/assembly/draft/treeval/peDipJapo1_1/working/work/d0/0063d88d9f330b7eef569dcbcfc3b8/in/48453_5-6#5.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (peDipJapo1_1)	COMPLETED	-	1	100 MB	1	41ms	71.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (peDipJapo1_1)	COMPLETED	-	1	100 MB	1	31ms	80.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (peDipJapo1_1)	COMPLETED	-	1	100 MB	1	41ms	71.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (peDipJapo1_1)	COMPLETED	-	1	100 MB	1	47ms	68.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (peDipJapo1_1)	COMPLETED	-	2	12 GB	1	4s	98.8%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (peDipJapo1_1)	COMPLETED	-	1	6 GB	1	2s	95.8%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (peDipJapo1_1)	COMPLETED	-	1	100 MB	1	0ms	48.9%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (peDipJapo1_1)	COMPLETED	-	1	1 GB	1	0ms	36.1%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (peDipJapo1_1)	COMPLETED	-	2	12 GB	1	18ms	77.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (peDipJapo1_1)	COMPLETED	-	2	12 GB	1	10.4s	96.1%	0.0%	8.2 MB
