---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   high_dubinsky
Pipeline_session:   5a858e62-8311-48df-98d4-761efd119232
Pipeline_duration:  5641
Pipeline_datastrt:  2024-06-26T13:41:35.438521318+01:00
Pipeline_datecomp:  2024-06-26T15:15:36.751983528+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      pxPlaFalc46_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/pxPlaFalc46.yaml
InputAssemblyData:  [[id:pxPlaFalc46_1, sz:51878800, ln:protist, tk:null], /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/plasmodium/pxPlaFalc46/hap1.fa]
Input_PacBio_Files: [[id:read, sz:1654763258], /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/plasmodium/pxPlaFalc46/work/ab/87d41a7a73d43df5a474724464f19a/in/m64221e_231012_143928.ccs.bc2094--bc2094.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[4322985465, 4292718996], cn:3], [/nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/plasmodium/pxPlaFalc46/work/3b/f39a2adf40f2b46cd4bf40675907a4/in/output_48903_7#5.cram, /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/plasmodium/pxPlaFalc46/work/3b/f39a2adf40f2b46cd4bf40675907a4/in/output_48903_8#5.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (pxPlaFalc46_1)	COMPLETED	-	1	100 MB	1	9ms	118.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (pxPlaFalc46_1)	COMPLETED	-	1	100 MB	1	10ms	73.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (pxPlaFalc46_1)	COMPLETED	-	1	100 MB	1	13ms	71.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (pxPlaFalc46_1)	COMPLETED	-	6	50 GB	1	2s	148.9%	0.1%	426 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (pxPlaFalc46_1)	COMPLETED	-	1	100 MB	1	0ms	50.2%	0.0%	3.6 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_MINIMAP2:MINIMAP2_INDEX (1)	COMPLETED	-	2	2 GB	1	4s	73.5%	0.0%	425.7 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	2s	43.8%	0.0%	21 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	0ms	87.7%	0.0%	9 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (pxPlaFalc46_1)	COMPLETED	-	1	6 GB	1	1s	68.9%	0.0%	75.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	2s	43.7%	0.0%	20.9 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	2s	47.0%	0.0%	22.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (pxPlaFalc46_1)	COMPLETED	-	1	6 GB	1	0ms	80.4%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (pxPlaFalc46_1)	COMPLETED	-	6	1.5 GB	1	8s	94.2%	0.0%	112.2 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	401ms	75.9%	0.0%	14.4 MB
SANGERTOL_TREEVAL:TREEVAL:KMER:CAT_CAT (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	9s	21.4%	0.0%	3.3 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSSSI)	COMPLETED	-	2	12 GB	1	0ms	80.4%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:TABIX_BGZIPTABIX (pxPlaFalc46_1)	COMPLETED	-	1	1 GB	1	0ms	46.7%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:CHUNKFASTA (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	0ms	23.5%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:GAP_LENGTH (pxPlaFalc46_1)	COMPLETED	-	1	100 MB	1	27ms	45.7%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSPQI)	COMPLETED	-	2	12 GB	1	0ms	83.4%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (DLE1)	COMPLETED	-	2	12 GB	1	0ms	73.4%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_B (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	22ms	34.8%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (pxPlaFalc46_1)	COMPLETED	-	1	6 GB	1	0ms	61.7%	0.0%	3.4 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GET_LARGEST_SCAFF (pxPlaFalc46_1)	COMPLETED	-	2	12 GB	1	17ms	59.8%	0.0%	0
