---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   agitated_angela
Pipeline_session:   1367eee1-5078-4596-8e54-784cfa5983b0
Pipeline_duration:  11051
Pipeline_datastrt:  2024-04-16T15:30:55.168201+01:00
Pipeline_datecomp:  2024-04-16T18:35:06.869104+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      qeOrcCinc1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/arthropods/Orchesella_cincta/assembly/draft/treeval/qeOrcCinc1_1/qeOrcCinc1_1.yaml
InputAssemblyData:  [[id:qeOrcCinc1_1, sz:343770098, ln:arthropods, tk:null], /lustre/scratch124/tol/projects/darwin/data/arthropods/Orchesella_cincta/assembly/draft/treeval/qeOrcCinc1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:5969916791], /lustre/scratch124/tol/projects/darwin/data/arthropods/Orchesella_cincta/assembly/draft/treeval/qeOrcCinc1_1/working/work/f8/b0cfc21bff78080c5c17fb48019b86/in/m84047_231027_093241_s3.ccs.bc1010_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:31285137880, cn:7], /lustre/scratch124/tol/projects/darwin/data/arthropods/Orchesella_cincta/assembly/draft/treeval/qeOrcCinc1_1/working/work/23/2f17df665da9b1e8c6c806d95272c8/in/47476_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (qeOrcCinc1_1)	COMPLETED	-	1	100 MB	1	29ms	86.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (qeOrcCinc1_1)	COMPLETED	-	1	100 MB	1	30ms	112.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (qeOrcCinc1_1)	COMPLETED	-	1	100 MB	1	32ms	111.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (qeOrcCinc1_1)	COMPLETED	-	1	100 MB	1	32ms	100.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (qeOrcCinc1_1)	COMPLETED	-	1	100 MB	1	0ms	23.9%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (qeOrcCinc1_1)	COMPLETED	-	2	12 GB	1	1s	85.2%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (qeOrcCinc1_1)	COMPLETED	-	1	1 GB	1	0ms	39.6%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (qeOrcCinc1_1)	COMPLETED	-	1	100 MB	1	26ms	49.6%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (qeOrcCinc1_1)	COMPLETED	-	1	6 GB	1	2s	95.1%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (qeOrcCinc1_1)	COMPLETED	-	2	12 GB	1	2.5s	85.4%	0.0%	106.7 MB
