---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   compassionate_minsky
Pipeline_session:   64cd13d2-f69b-4d64-8c65-93306757d8c7
Pipeline_duration:  22226
Pipeline_datastrt:  2024-03-25T13:41:07.723238Z
Pipeline_datecomp:  2024-03-25T19:51:34.001045Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      qqAraAngu1_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/qqAraAngu1_1.yaml
InputAssemblyData:  [[id:qqAraAngu1_1, sz:3043859335, ln:arthropods, tk:null], /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6475399384, 3773790164, 6337772778, 22799663723]], [/lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/working/work/99/4b9488c8a6ddc4af74b30b8f17e041/in/m64089e_220902_214706.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/working/work/99/4b9488c8a6ddc4af74b30b8f17e041/in/m64125e_220726_223602.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/working/work/99/4b9488c8a6ddc4af74b30b8f17e041/in/m64228e_221117_133932.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/working/work/99/4b9488c8a6ddc4af74b30b8f17e041/in/m84098_240115_143756_s2.ccs.bc2038.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:75766519188, cn:16], /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_1/working/work/2f/2ab71ea91355ef5b851c6066a7aa74/in/44614_2#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	86 GB	1	31m 15s	99.5%	17.8%	66.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (qqAraAngu1_1)	CACHED	-	1	100 MB	1	0ms	64.2%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (qqAraAngu1_1)	CACHED	-	2	12 GB	1	17.8s	98.8%	0.2%	310.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (qqAraAngu1_1)	CACHED	-	1	100 MB	1	104ms	16.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (qqAraAngu1_1)	CACHED	-	2	12 GB	1	5s	77.6%	0.0%	157 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (qqAraAngu1_1)	CACHED	-	6	6 GB	1	14m 19s	99.9%	1.1%	4.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (qqAraAngu1_1)	CACHED	-	1	6 GB	1	12s	98.0%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (qqAraAngu1_1)	CACHED	-	1	2 GB	1	25m 35s	100.1%	0.1%	561 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (qqAraAngu1_1)	CACHED	-	1	100 MB	1	82ms	31.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (qqAraAngu1_1)	CACHED	-	1	100 MB	1	106ms	15.8%	0.0%	0
