---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   high_hypatia
Pipeline_session:   b27676e2-c493-4ee1-8193-704a11a73318
Pipeline_duration:  83529
Pipeline_datastrt:  2024-03-25T13:42:54.881949Z
Pipeline_datecomp:  2024-03-26T12:55:03.898385Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      qqAraAngu1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/qqAraAngu1_2.yaml
InputAssemblyData:  [[id:qqAraAngu1_2, sz:6039642031, ln:arthropods, tk:null], /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6475399384, 3773790164, 6337772778, 22799663723]], [/lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/working/work/ea/e2e0f368bfe91c88d040d2167ece88/in/m64089e_220902_214706.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/working/work/ea/e2e0f368bfe91c88d040d2167ece88/in/m64125e_220726_223602.ccs.bc1008_BAK8A_OA--bc1008_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/working/work/ea/e2e0f368bfe91c88d040d2167ece88/in/m64228e_221117_133932.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/working/work/ea/e2e0f368bfe91c88d040d2167ece88/in/m84098_240115_143756_s2.ccs.bc2038.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:75766519188, cn:16], /lustre/scratch124/tol/projects/darwin/data/arthropods/Araneus_angulatus/assembly/draft/treeval/qqAraAngu1_2/working/work/96/3c66a620c3adcef56610bfcbdf59d9/in/44614_2#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	170 GB	1	1h 10m 56s	99.6%	35.3%	132.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (qqAraAngu1_2)	CACHED	-	1	100 MB	1	0ms	49.7%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (qqAraAngu1_2)	CACHED	-	2	12 GB	1	36.8s	82.0%	0.2%	315.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (qqAraAngu1_2)	CACHED	-	1	100 MB	1	95ms	16.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (qqAraAngu1_2)	CACHED	-	1	100 MB	1	153ms	23.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (qqAraAngu1_2)	CACHED	-	1	100 MB	1	112ms	17.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (qqAraAngu1_2)	CACHED	-	6	10.5 GB	1	48m 32s	100.0%	1.3%	5.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (qqAraAngu1_2)	CACHED	-	1	6 GB	1	22s	97.8%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (qqAraAngu1_2)	CACHED	-	2	12 GB	1	8s	85.9%	0.0%	157 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (qqAraAngu1_2)	CACHED	-	1	100 MB	1	139ms	25.9%	0.0%	0
