---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   sad_ekeblad
Pipeline_session:   d8d00fc4-8c5c-420a-9454-6c02cb320c84
Pipeline_duration:  32522
Pipeline_datastrt:  2024-06-26T12:19:08.392342133+01:00
Pipeline_datecomp:  2024-06-26T21:21:11.215525122+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      qqSegSeno1_3
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/dp24/new/new-new/treeval/yaml/qqSegSeno1_3.yaml
InputAssemblyData:  [[id:qqSegSeno1_3, sz:7834052616, ln:arthropods, tk:null], /lustre/scratch122/tol/data/0/4/1/4/7/e/Segestria_senoculata/assembly/draft/treeval/qqSegSeno1_3/merged.fa]
Input_PacBio_Files: [[id:read, sz:[2200474456, 2639631129, 15499711587]], [/lustre/scratch122/tol/data/0/4/1/4/7/e/Segestria_senoculata/assembly/draft/treeval/qqSegSeno1_3/work/dd/a2889fe4ecb4f78d67a410c79b7ba8/in/m64016e_210613_021949.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz, /lustre/scratch122/tol/data/0/4/1/4/7/e/Segestria_senoculata/assembly/draft/treeval/qqSegSeno1_3/work/dd/a2889fe4ecb4f78d67a410c79b7ba8/in/m64229e_220916_142826.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.rmdup.filtered.fasta.gz, /lustre/scratch122/tol/data/0/4/1/4/7/e/Segestria_senoculata/assembly/draft/treeval/qqSegSeno1_3/work/dd/a2889fe4ecb4f78d67a410c79b7ba8/in/m84098_240307_125332_s2.ccs.bc2088.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:187761322869, cn:38], /lustre/scratch122/tol/data/0/4/1/4/7/e/Segestria_senoculata/assembly/draft/treeval/qqSegSeno1_3/work/8d/170a5b4e7311945acd9ffce23b3bb6/in/45804_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (qqSegSeno1_3)	CACHED	-	1	100 MB	1	9ms	126.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (qqSegSeno1_3)	CACHED	-	1	100 MB	1	10ms	139.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (qqSegSeno1_3)	CACHED	-	1	100 MB	1	0ms	47.2%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (qqSegSeno1_3)	CACHED	-	1	100 MB	1	8ms	107.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (qqSegSeno1_3)	CACHED	-	2	12 GB	1	48.9s	100.1%	0.3%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (qqSegSeno1_3)	CACHED	-	6	12 GB	1	1h 18m 44s	100.1%	1.4%	5.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (qqSegSeno1_3)	CACHED	-	2	12 GB	1	15s	95.6%	0.2%	615.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (qqSegSeno1_3)	CACHED	-	1	6 GB	1	28s	94.2%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (qqSegSeno1_3)	CACHED	-	1	4 GB	1	1h 46m 19s	99.7%	0.4%	1.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (qqSegSeno1_3)	CACHED	-	2	12 GB	1	1m 4s	99.4%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:MINIMAP2_INDEX (1)	CACHED	-	2	236 GB	1	4m 32s	172.7%	1.8%	27.6 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (qqSegSeno1_3)	CACHED	-	2	12 GB	1	23s	138.7%	0.3%	1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (qqSegSeno1_3)	CACHED	-	1	1 GB	1	0ms	49.6%	0.0%	5.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (qqSegSeno1_3)	CACHED	-	20	157 GB	1	45m 59s	1906.4%	3.1%	23.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (qqSegSeno1_3)	CACHED	-	20	157 GB	1	5h 20m 3s	1953.7%	7.6%	29 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (qqSegSeno1_3)	CACHED	-	2	12 GB	1	38s	99.2%	0.0%	6.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:MINIMAP2_ALIGN (qqSegSeno1_3)	CACHED	-	20	157 GB	1	37m 54s	1860.6%	7.1%	27.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 44m 25s	1574.9%	4.2%	31.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (qqSegSeno1_3)	CACHED	-	1	100 MB	1	42ms	48.6%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 42m 45s	1586.0%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 36m 24s	1585.0%	4.2%	31.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 42m 41s	1558.5%	4.2%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 44m 42s	1586.7%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 25m 49s	1583.8%	8.3%	31.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 28m 41s	1584.4%	8.4%	32.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 34m 27s	1543.7%	8.3%	31.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 25m 5s	1584.2%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 40m 19s	1585.9%	4.2%	32.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 39m 2s	1578.7%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 33m 13s	1585.1%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 39m 54s	1585.4%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 43m 1s	1585.9%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 33m 36s	1559.9%	4.2%	31.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (qqSegSeno1_3)	CACHED	-	2	12 GB	1	16ms	136.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 34m 42s	1574.7%	8.4%	31.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 41m 24s	1586.2%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 35m 6s	1562.6%	4.2%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 47m	1585.2%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 43m 21s	1541.3%	4.2%	31.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 25m 20s	1586.9%	8.3%	31.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 32m 11s	1583.1%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 32m 47s	1582.9%	8.3%	31.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 45m 57s	1585.7%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 23m 11s	1574.4%	8.3%	31.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 40m 38s	1586.2%	8.4%	32 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 32m 59s	1583.9%	8.3%	31.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (qqSegSeno1_3)	CACHED	-	2	12 GB	1	20ms	35.8%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:CAT_CAT (qqSegSeno1)	CACHED	-	2	12 GB	1	3s	85.7%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_MINIMAP2:CRAM_FILTER_MINIMAP2_FILTER5END_FIXMATE_SORT (qqSegSeno1_3)	CACHED	-	16	157 GB	1	2h 23m 38s	1555.5%	8.3%	31.8 GB
