---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   hungry_lichterman
Pipeline_session:   bcaf0177-acfe-4c3b-af7c-c4bd027fbb65
Pipeline_duration:  23337
Pipeline_datastrt:  2024-03-26T11:56:18.750032Z
Pipeline_datecomp:  2024-03-26T18:25:16.486083Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      qqXysAcer1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/arthropods/Xysticus_acerbus/assembly/draft/treeval/qqXysAcer1_2/qqXysAcer1_2.yaml
InputAssemblyData:  [[id:qqXysAcer1_2, sz:6043083067, ln:arthropods, tk:null], /lustre/scratch124/tol/projects/darwin/data/arthropods/Xysticus_acerbus/assembly/draft/treeval/qqXysAcer1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:19344372903], /lustre/scratch124/tol/projects/darwin/data/arthropods/Xysticus_acerbus/assembly/draft/treeval/qqXysAcer1_2/working/work/96/6c2842f847402fe9a8c43aa4bf3fc1/in/m84047_240115_140801_s1.ccs.bc2023.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:118408664692, cn:27], /lustre/scratch124/tol/projects/darwin/data/arthropods/Xysticus_acerbus/assembly/draft/treeval/qqXysAcer1_2/working/work/a2/cf120b4b980cd780aa394e77d94501/in/48314_5-6#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	170 GB	1	1h 14m 57s	99.7%	35.3%	132.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (qqXysAcer1_2)	CACHED	-	6	10.5 GB	1	52m 44s	100.1%	2.6%	5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (qqXysAcer1_2)	CACHED	-	1	100 MB	1	40ms	80.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (qqXysAcer1_2)	CACHED	-	2	12 GB	1	9s	82.1%	0.2%	297.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (qqXysAcer1_2)	CACHED	-	1	100 MB	1	43ms	101.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (qqXysAcer1_2)	CACHED	-	1	100 MB	1	45ms	84.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (qqXysAcer1_2)	CACHED	-	2	12 GB	1	41.4s	99.6%	0.3%	612.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (qqXysAcer1_2)	CACHED	-	1	100 MB	1	60ms	72.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (qqXysAcer1_2)	CACHED	-	1	100 MB	1	1s	55.0%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (qqXysAcer1_2)	CACHED	-	1	6 GB	1	22s	98.4%	0.0%	6.3 MB
