---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   amazing_roentgen
Pipeline_session:   4d7ebe91-3bfd-49a7-8a0a-8b745155019f
Pipeline_duration:  21416
Pipeline_datastrt:  2024-01-18T21:20:23.878734Z
Pipeline_datecomp:  2024-01-19T03:17:19.911149Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      rAnoSag4_3
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/rAnoSag4_3.yaml
InputAssemblyData:  [[id:rAnoSag4_3, sz:3739415003, ln:reptile, tk:null], /lustre/scratch124/tol/projects/genomeark/data/reptiles/Anolis_sagrei/assembly/draft/treeval/rAnoSag4_3/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[8182333187, 10381092180]], [/lustre/scratch123/tol/teams/tola/users/yy5/tv_new/treeval/work/1a/45588385f48b8db07b963c8078a7ca/in/m64334e_230208_171737.bc1018--bc1018.hifi_reads.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/tv_new/treeval/work/1a/45588385f48b8db07b963c8078a7ca/in/m64334e_230303_142841.bc1018--bc1018.hifi_reads.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:28261362521, cn:6], /lustre/scratch123/tol/teams/tola/users/yy5/tv_new/treeval/work/8c/a497247a43d82419fb7f5c4924fd7e/in/rAnoSag4_L1_S6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:GrabFiles (rAnoSag4_3)	COMPLETED	-	1	100 MB	1	146ms	24.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:GrabFiles (rAnoSag4_3)	COMPLETED	-	1	100 MB	1	175ms	17.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (rAnoSag4_3)	COMPLETED	-	1	100 MB	1	110ms	36.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (rAnoSag4_3)	COMPLETED	-	1	100 MB	1	124ms	29.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (rAnoSag4_3)	COMPLETED	-	1	100 MB	1	0ms	61.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (rAnoSag4_3)	COMPLETED	-	2	12 GB	1	7s	96.8%	0.1%	334 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (rAnoSag4_3)	COMPLETED	-	1	6 GB	1	14s	95.5%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (rAnoSag4_3)	COMPLETED	-	1	100 MB	1	29ms	40.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (rAnoSag4_3)	COMPLETED	-	2	12 GB	1	17ms	42.7%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (rAnoSag4_3)	COMPLETED	-	2	12 GB	1	16ms	27.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (rAnoSag4_3)	COMPLETED	-	2	12 GB	1	24.9s	97.9%	0.2%	686 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (rAnoSag4_3)	COMPLETED	-	2	12 GB	1	13ms	90.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (rAnoSag4_3)	COMPLETED	-	1	6 GB	1	0ms	95.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (rAnoSag4_3)	COMPLETED	-	1	2 GB	1	0ms	45.0%	0.0%	3.1 MB
