---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   compassionate_booth
Pipeline_session:   11c8a5b6-1639-40ab-9faa-d3e602afbe20
Pipeline_duration:  49164
Pipeline_datastrt:  2024-05-16T15:46:21.916753+01:00
Pipeline_datecomp:  2024-05-17T05:25:46.108099+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      rPanTec1_2
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/rPanTec1_2.yaml
InputAssemblyData:  [[id:rPanTec1_2, sz:4414025297, ln:reptiles, tk:null], /lustre/scratch124/tol/projects/genomeark/data/reptiles/Pangshura_tecta/assembly/draft/treeval/rPanTec1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[16444918312, 13401739243]], [/lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/63/f62cd29c4d7c006e058ef9edda3737/in/m84091_240229_231204_s2.hifi_reads.bc1020.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/63/f62cd29c4d7c006e058ef9edda3737/in/m84091_240313_193904_s3.hifi_reads.bc1020.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:116910279125, cn:22], /lustre/scratch123/tol/teams/tola/users/yy5/treeval_new/treeval/work/16/bf82f1c9a5ada76fc40653cad07ff1/in/rPanTec1_L1_S3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (rPanTec1_2)	COMPLETED	-	1	100 MB	1	48ms	33.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (rPanTec1_2)	COMPLETED	-	1	100 MB	1	31ms	28.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (rPanTec1_2)	COMPLETED	-	1	100 MB	1	10ms	70.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (rPanTec1_2)	COMPLETED	-	1	100 MB	1	1s	21.9%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (rPanTec1_2)	COMPLETED	-	2	12 GB	1	7s	96.0%	0.0%	342.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (rPanTec1_2)	COMPLETED	-	1	6 GB	1	17s	97.0%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (rPanTec1_2)	COMPLETED	-	1	1 GB	1	0ms	50.4%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (rPanTec1_2)	COMPLETED	-	1	100 MB	1	27ms	46.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (rPanTec1_2)	COMPLETED	-	2	12 GB	1	17ms	43.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (rPanTec1_2)	COMPLETED	-	1	6 GB	1	0ms	95.3%	0.0%	5.5 MB
