---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   focused_kay
Pipeline_session:   b286081c-02f4-4de8-bdc9-bcb23542fccd
Pipeline_duration:  57001
Pipeline_datastrt:  2024-03-07T09:55:07.348991Z
Pipeline_datecomp:  2024-03-08T01:45:08.969063Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      rPodGai1_1
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/reptiles/Podarcis_gaigeae/assembly/draft/treeval/rPodGai1_1/rPodGai1_1.yaml
InputAssemblyData:  [[id:rPodGai1_1, sz:1536051617, ln:reptile, tk:null], /lustre/scratch122/tol/projects/meier-tmp/reptiles/Podarcis_gaigeae/assembly/draft/treeval/rPodGai1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:17555090021], /lustre/scratch122/tol/projects/meier-tmp/reptiles/Podarcis_gaigeae/assembly/draft/treeval/rPodGai1_1/working/work/c1/6243597172becd30578621783eac3b/in/m84047_231213_135009_s1.ccs.bc2026.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:58079842967, cn:13], /lustre/scratch122/tol/projects/meier-tmp/reptiles/Podarcis_gaigeae/assembly/draft/treeval/rPodGai1_1/working/work/48/247d18a900788223445ea334e3f0f0/in/48313_7-8#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (rPodGai1_1)	CACHED	-	1	100 MB	1	7s	4.0%	0.0%	7.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (rPodGai1_1)	CACHED	-	2	12 GB	1	3s	65.9%	0.0%	136.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (rPodGai1_1)	CACHED	-	1	100 MB	1	136ms	19.0%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (rPodGai1_1)	CACHED	-	1	100 MB	1	113ms	31.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (rPodGai1_1)	CACHED	-	6	3 GB	1	12m 25s	99.8%	0.4%	1.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	44 GB	1	16m 47s	99.2%	9.0%	33.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (rPodGai1_1)	CACHED	-	1	100 MB	1	48ms	45.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (rPodGai1_1)	CACHED	-	1	100 MB	1	138ms	30.3%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (rPodGai1_1)	CACHED	-	2	12 GB	1	9.2s	92.6%	0.1%	270.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (rPodGai1_1)	CACHED	-	1	6 GB	1	6s	96.9%	0.0%	4.6 MB
