---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   cheeky_wilson
Pipeline_session:   6aba95fa-9437-48a0-bc61-77f105e18dda
Pipeline_duration:  43513
Pipeline_datastrt:  2024-06-18T08:39:14.297439+01:00
Pipeline_datecomp:  2024-06-18T20:44:28.091377+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      rPodMel1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/reptiles/Podarcis_melisellensis/assembly/draft/treeval/rPodMel1_2/rPodMel1_2.yaml
InputAssemblyData:  [[id:rPodMel1_2, sz:3062150806, ln:, tk:null], /lustre/scratch122/tol/data/a/3/f/8/c/c/Podarcis_melisellensis/assembly/draft/treeval/rPodMel1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:10654432556], /lustre/scratch122/tol/data/a/3/f/8/c/c/Podarcis_melisellensis/assembly/draft/treeval/rPodMel1_2/working/work/0a/58b7a2b2d80840a502a1b3c3ba6cbe/in/m84098_240514_112027_s2.ccs.bc2081.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[56735148899, 53888391724], cn:25], [/lustre/scratch122/tol/data/a/3/f/8/c/c/Podarcis_melisellensis/assembly/draft/treeval/rPodMel1_2/working/work/fb/0fec3f650b9b5249e6827ef757175c/in/49015_1-2#2.cram, /lustre/scratch122/tol/data/a/3/f/8/c/c/Podarcis_melisellensis/assembly/draft/treeval/rPodMel1_2/working/work/fb/0fec3f650b9b5249e6827ef757175c/in/49015_5-6#3.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (rPodMel1_2)	COMPLETED	-	1	100 MB	1	9ms	73.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (rPodMel1_2)	COMPLETED	-	1	100 MB	1	8ms	84.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (rPodMel1_2)	COMPLETED	-	1	100 MB	1	9ms	60.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (rPodMel1_2)	COMPLETED	-	1	100 MB	1	1s	28.2%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (rPodMel1_2)	COMPLETED	-	2	12 GB	1	5s	71.4%	0.0%	135.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (rPodMel1_2)	COMPLETED	-	2	12 GB	1	18.1s	100.0%	0.1%	278.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (rPodMel1_2)	COMPLETED	-	1	6 GB	1	21s	96.6%	0.0%	6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (rPodMel1_2)	COMPLETED	-	2	12 GB	1	28s	98.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (rPodMel1_2)	COMPLETED	-	1	1 GB	1	0ms	44.7%	0.0%	4.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (rPodMel1_2)	COMPLETED	-	1	100 MB	1	26ms	74.1%	0.0%	0
