---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   elated_snyder
Pipeline_session:   337b9a7a-6d9a-40be-821e-40c1078cef52
Pipeline_duration:  34236
Pipeline_datastrt:  2024-06-13T09:12:57.347791+01:00
Pipeline_datecomp:  2024-06-13T18:43:33.881034+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      rPodTil1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/reptiles/Podarcis_tiliguerta/assembly/draft/treeval/rPodTil1_2/rPodTil1_2.yaml
InputAssemblyData:  [[id:rPodTil1_2, sz:2907784765, ln:, tk:null], /lustre/scratch122/tol/data/e/e/1/3/6/b/Podarcis_tiliguerta/assembly/draft/treeval/rPodTil1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:[4337570437, 5541527406]], [/lustre/scratch122/tol/data/e/e/1/3/6/b/Podarcis_tiliguerta/assembly/draft/treeval/rPodTil1_2/working/work/7f/523da722dbf31926e0c73ed512e4dc/in/m84093_240508_113227_s3.ccs.bc2012.filtered.fasta.gz, /lustre/scratch122/tol/data/e/e/1/3/6/b/Podarcis_tiliguerta/assembly/draft/treeval/rPodTil1_2/working/work/7f/523da722dbf31926e0c73ed512e4dc/in/m84098_240605_120155_s4.ccs.bc2012.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:66168677894, cn:15], /lustre/scratch122/tol/data/e/e/1/3/6/b/Podarcis_tiliguerta/assembly/draft/treeval/rPodTil1_2/working/work/79/de371476b3ab3087bc009553988df7/in/48313_7-8#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (rPodTil1_2)	COMPLETED	-	1	100 MB	1	11ms	95.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (rPodTil1_2)	COMPLETED	-	1	100 MB	1	11ms	84.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (rPodTil1_2)	COMPLETED	-	1	100 MB	1	10ms	103.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (rPodTil1_2)	COMPLETED	-	1	100 MB	1	0ms	39.2%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (rPodTil1_2)	COMPLETED	-	2	12 GB	1	4s	92.8%	0.0%	133.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (rPodTil1_2)	COMPLETED	-	2	12 GB	1	16.2s	98.7%	0.1%	277.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (rPodTil1_2)	COMPLETED	-	1	6 GB	1	11s	97.0%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (rPodTil1_2)	COMPLETED	-	1	1 GB	1	0ms	45.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (rPodTil1_2)	COMPLETED	-	2	12 GB	1	3s	127.3%	0.2%	376.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (rPodTil1_2)	COMPLETED	-	2	12 GB	1	26ms	97.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (rPodTil1_2)	COMPLETED	-	2	12 GB	1	37s	97.1%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (rPodTil1_2)	COMPLETED	-	1	1 GB	1	0ms	48.0%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (rPodTil1_2)	COMPLETED	-	1	100 MB	1	28ms	45.1%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (rPodTil1_2)	COMPLETED	-	2	12 GB	1	40ms	21.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (rPodTil1_2)	COMPLETED	-	1	6 GB	1	0ms	90.8%	0.0%	5.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (rPodTil1_2)	COMPLETED	-	2	12 GB	1	15ms	107.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (rPodTil1_2)	COMPLETED	-	2	12 GB	1	291ms	151.2%	0.0%	2.7 MB
