---RUN_DATA---
Pipeline_version:   v1.1.1
Pipeline_runname:   maniac_hypatia
Pipeline_session:   384c29be-eb29-4d17-b4a1-800e72de9951
Pipeline_duration:  61292
Pipeline_datastrt:  2024-07-05T10:02:26.005244+01:00
Pipeline_datecomp:  2024-07-06T03:03:58.612526+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      rPodVau1_2
InputYamlFile:      /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/reptiles/Podarcis_vaucheri/assembly/draft/treeval/rPodVau1_2/rPodVau1_2.yaml
InputAssemblyData:  [[id:rPodVau1_2, sz:3178818748, ln:, tk:null], /lustre/scratch122/tol/data/6/a/7/0/3/7/Podarcis_vaucheri/assembly/draft/treeval/rPodVau1_2/raw/merged.fa]
Input_PacBio_Files: [[id:read, sz:9326810891], /lustre/scratch122/tol/data/6/a/7/0/3/7/Podarcis_vaucheri/assembly/draft/treeval/rPodVau1_2/working/work/8e/2e74b1335933a10f5ca832e92393ca/in/m84093_240508_120444_s4.ccs.bc2013.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:66961516044, cn:16], /lustre/scratch122/tol/data/6/a/7/0/3/7/Podarcis_vaucheri/assembly/draft/treeval/rPodVau1_2/working/work/d0/5deb7f8d8af5a9513c4a916385356f/in/48870_1-2#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (rPodVau1_2)	COMPLETED	-	1	100 MB	1	9ms	125.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (rPodVau1_2)	COMPLETED	-	1	100 MB	1	9ms	105.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (rPodVau1_2)	COMPLETED	-	1	100 MB	1	12ms	94.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (rPodVau1_2)	COMPLETED	-	2	12 GB	1	4s	88.8%	0.0%	141.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (rPodVau1_2)	COMPLETED	-	1	1 GB	1	0ms	34.8%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (rPodVau1_2)	COMPLETED	-	1	100 MB	1	22ms	52.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (rPodVau1_2)	COMPLETED	-	2	12 GB	1	18.7s	99.2%	0.1%	307.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (rPodVau1_2)	COMPLETED	-	1	6 GB	1	21s	96.5%	0.0%	6.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (rPodVau1_2)	COMPLETED	-	2	12 GB	1	28s	99.5%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (rPodVau1_2)	COMPLETED	-	2	12 GB	1	6s	123.3%	0.2%	380.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (rPodVau1_2)	COMPLETED	-	2	12 GB	1	482ms	125.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (rPodVau1_2)	COMPLETED	-	1	6 GB	1	0ms	91.5%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (rPodVau1_2)	COMPLETED	-	2	12 GB	1	16ms	41.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (rPodVau1_2)	COMPLETED	-	2	12 GB	1	16ms	60.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (rPodVau1_2)	COMPLETED	-	1	1 GB	1	0ms	52.5%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (rPodVau1_2)	COMPLETED	-	2	12 GB	1	344ms	94.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (rPodVau1_2)	COMPLETED	-	8	100 GB	1	11m 26s	400.8%	19.4%	36.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (rPodVau1_2)	COMPLETED	-	20	100 GB	1	3m 40s	1199.4%	3.6%	13.8 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (rPodVau1_2)	COMPLETED	-	6	6 GB	1	19m 30s	100.1%	1.1%	4.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (merged.fa)	COMPLETED	-	1	90 GB	1	43m 14s	99.5%	18.6%	69.9 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (rPodVau1_2)	COMPLETED	-	1	2 GB	1	25m 41s	99.5%	0.2%	544.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (rPodVau1_2)	COMPLETED	-	2	12 GB	1	13s	98.4%	0.0%	5.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (rPodVau1_2)	COMPLETED	-	1	6 GB	1	11s	97.2%	1.2%	4.5 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (rPodVau1_2)	COMPLETED	-	2	12 GB	1	3s	98.8%	0.0%	8.6 MB
