---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   cheeky_almeida
Pipeline_session:   20568197-4287-4e2b-b734-fc18d0f9d662
Pipeline_duration:  9219
Pipeline_datastrt:  2024-02-14T15:26:53.672005122Z
Pipeline_datecomp:  2024-02-14T18:00:32.843733197Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      tfGorSpea1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/tfGorSpea1_1.yaml
InputAssemblyData:  [[id:tfGorSpea1_1, sz:226643803, ln:nematode, tk:null], /lustre/scratch123/tol/projects/tol-nematodes/data/Gordius/Gordius_sp._MW1/assembly/draft/treeval/tfGorSpea1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6009431327, 6009431327]], [/lustre/scratch123/tol/teams/tola/users/yy5/tv_galaxy/treeval/work/b0/9f2247e63d642bdbca5116bb319fe8/in/demultiplex.bc2004--bc2004.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/tv_galaxy/treeval/work/b0/9f2247e63d642bdbca5116bb319fe8/in/tfGorSpea1_hifi_reads.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:36271417894, cn:8], /lustre/scratch123/tol/teams/tola/users/yy5/tv_galaxy/treeval/work/2f/724da9b254f0a73416d89b67b3f8eb/in/46919_4#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (tfGorSpea1_1)	COMPLETED	-	1	100 MB	1	280ms	15.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (tfGorSpea1_1)	COMPLETED	-	1	100 MB	1	258ms	15.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (tfGorSpea1_1)	COMPLETED	-	1	100 MB	1	200ms	14.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (tfGorSpea1_1)	COMPLETED	-	1	100 MB	1	190ms	16.3%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	1s	79.2%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	5s	78.3%	0.0%	115.6 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	1.7s	79.4%	0.0%	103.7 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (tfGorSpea1_1)	COMPLETED	-	6	36 GB	1	4s	337.2%	0.4%	1.8 GB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (tfGorSpea1_1)	COMPLETED	-	1	6 GB	1	1s	93.1%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (tfGorSpea1_1)	COMPLETED	-	1	100 MB	1	3s	4.9%	0.0%	7.5 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	5s	79.9%	0.0%	122.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	5s	81.1%	0.0%	125.1 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:GAP_LENGTH (tfGorSpea1_1)	COMPLETED	-	1	100 MB	1	27ms	14.1%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSPQI)	COMPLETED	-	2	12 GB	1	1s	87.9%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_WINDOWS (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	0ms	134.1%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GNU_SORT (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	17ms	41.0%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GET_LARGEST_SCAFF (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	14ms	57.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSSSI)	COMPLETED	-	2	12 GB	1	0ms	95.7%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (DLE1)	COMPLETED	-	2	12 GB	1	0ms	90.1%	0.0%	4.1 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:EXTRACT_TELO (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	22ms	46.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_CMAP2BED (BSPQI)	COMPLETED	-	1	6 GB	1	1s	23.1%	0.0%	8.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (tfGorSpea1_1)	COMPLETED	-	1	6 GB	1	1s	76.8%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_B (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	16ms	45.7%	0.0%	2.7 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:TABIX_BGZIPTABIX (tfGorSpea1_1)	COMPLETED	-	1	2 GB	1	0ms	33.2%	0.0%	3.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_CMAP2BED (DLE1)	COMPLETED	-	1	6 GB	1	1s	96.3%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:TABIX_BGZIPTABIX (tfGorSpea1_1)	COMPLETED	-	1	2 GB	1	0ms	9.3%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_CMAP2BED (BSSSI)	COMPLETED	-	1	6 GB	1	2s	28.7%	0.0%	9.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:UCSC_BEDTOBIGBED (BSPQI)	COMPLETED	-	1	2 GB	1	0ms	55.6%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_C (tfGorSpea1_1)	COMPLETED	-	2	12 GB	1	38ms	67.6%	0.0%	5.2 MB
