---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   awesome_lovelace
Pipeline_session:   0897eed6-45a8-45fd-8894-a3b98a2a9e3f
Pipeline_duration:  7853
Pipeline_datastrt:  2023-12-11T15:59:47.682718Z
Pipeline_datecomp:  2023-12-11T18:10:40.960321Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ucAstSpeb1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ucAstSpeb1_1.yaml
InputAssemblyData:  [[id:ucAstSpeb1_1, sz:48794500, ln:algae, tk:null], /lustre/scratch124/tol/projects/erga/data/fungi/Cladonia_norvegica/assembly/draft/treeval/ucAstSpeb1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:4282638713], /lustre/scratch124/tol/projects/erga/data/fungi/Cladonia_norvegica/assembly/draft/treeval/ucAstSpeb1_1/working/work/f4/6b132a39ec75ce7f7b8160ef73be9d/in/m64229e_230921_230630.ccs.bc2027--bc2027.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40233552711, cn:9], /lustre/scratch124/tol/projects/erga/data/fungi/Cladonia_norvegica/assembly/draft/treeval/ucAstSpeb1_1/working/work/74/a202ff1148e107be43cc6a8b4972b2/in/47489_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ucAstSpeb1_1)	COMPLETED	-	1	100 MB	1	44ms	79.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ucAstSpeb1)	COMPLETED	-	1	100 MB	1	38ms	71.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ucAstSpeb1_1)	COMPLETED	-	1	100 MB	1	36ms	113.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ucAstSpeb1_1)	COMPLETED	-	1	6 GB	1	1s	89.2%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ucAstSpeb1_1)	COMPLETED	-	1	100 MB	1	0ms	58.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	2.8s	91.8%	0.0%	13.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	1s	95.0%	0.0%	8.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	4s	123.3%	0.1%	320.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	15ms	44.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	13ms	118.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	0ms	134.7%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	14ms	47.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	11s	98.4%	0.0%	111.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ucAstSpeb1_1)	COMPLETED	-	1	100 MB	1	24ms	50.0%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ucAstSpeb1_1)	COMPLETED	-	1	6 GB	1	0ms	58.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ucAstSpeb1_1)	COMPLETED	-	1	2 GB	1	0ms	36.3%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	18ms	66.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ucAstSpeb1)	COMPLETED	-	2	12 GB	1	13s	92.7%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	29ms	75.6%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ucAstSpeb1_1)	COMPLETED	-	1	2 GB	1	0ms	63.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	11s	94.8%	0.0%	50.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	30	100 GB	1	32s	93.3%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	1s	95.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ucAstSpeb1_1)	COMPLETED	-	1	6 GB	1	0ms	92.0%	0.0%	4.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	92ms	78.2%	0.0%	8.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	179ms	134.7%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (ucAstSpeb1_1)	COMPLETED	-	2	12 GB	1	236ms	113.2%	0.0%	8.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (ucAstSpeb1_1)	COMPLETED	-	1	6 GB	1	1s	88.6%	0.0%	3.1 MB
