---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   mighty_bhabha
Pipeline_session:   8b26b6aa-65e8-42c6-abda-90fcc2afbe0f
Pipeline_duration:  64639
Pipeline_datastrt:  2023-11-14T10:43:50.072446Z
Pipeline_datecomp:  2023-11-15T04:41:09.871617Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      ucMarCocc1_1
InputYamlFile:      raw_yaml/ucMarCocc1.yaml
InputAssemblyData:  [[id:ucMarCocc1_1, sz:22687563, ln:sponges, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/ucMarCocc1.fa]
Input_PacBio_Files: [[id:pacbio, sz:[1924333497, 5917679069]], [/nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/94/8fca6abe58d53655280fc0b8b824b7/in/m64125e_230710_051814.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.rmdup.filtered.fasta.gz, /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/94/8fca6abe58d53655280fc0b8b824b7/in/m64228e_230528_151056.ccs.bc1003_BAK8A_OA--bc1003_BAK8A_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:32873393646], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/74/316a7917d6833094febbaa9f2af614/in/44924_1#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (ucMarCocc1_1)	COMPLETED	-	1	6 GB	1	34ms	90.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (ucMarCocc1_1)	COMPLETED	-	1	6 GB	1	43ms	85.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (ucMarCocc1_1)	COMPLETED	-	1	6 GB	1	32ms	85.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ucMarCocc1_1)	COMPLETED	-	1	6 GB	1	1s	82.2%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	2s	90.5%	0.1%	221.7 MB
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (sponges)	COMPLETED	-	1	6 GB	1	26ms	47.6%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GNU_SORT (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	22ms	68.8%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GET_LARGEST_SCAFF (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	19ms	88.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_B (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	26ms	30.9%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ucMarCocc1_1)	COMPLETED	-	1	6 GB	1	0ms	52.9%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_C (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	34ms	25.3%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:BWAMEM2_INDEX (ucMarCocc1.fa)	COMPLETED	-	1	50 GB	1	17s	83.2%	0.0%	452.2 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	0ms	69.4%	0.0%	3.2 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	225ms	84.9%	0.0%	12.1 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	6s	97.3%	0.0%	114.2 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	2s	33.4%	0.0%	21.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (ucMarCocc1_1)	COMPLETED	-	6	36 GB	1	1s	134.9%	0.0%	415.4 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	0ms	63.9%	0.0%	8.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	1s	31.0%	0.0%	18.3 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (ucMarCocc1_1)	COMPLETED	-	2	12 GB	1	2s	32.1%	0.0%	19.9 MB
