---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   determined_bartik
Pipeline_session:   b6550cd4-62e6-4bb7-bb34-2e5697093215
Pipeline_duration:  12250
Pipeline_datastrt:  2024-06-22T22:09:58.511619+01:00
Pipeline_datecomp:  2024-06-23T01:34:08.583882+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      whBimRubi4_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/annelids/Bimastos_rubidus/assembly/draft/treeval/whBimRubi4_1/whBimRubi4_1.yaml
InputAssemblyData:  [[id:whBimRubi4_1, sz:853092159, ln:, tk:null], /lustre/scratch122/tol/data/d/c/b/d/1/7/Bimastos_rubidus/assembly/draft/treeval/whBimRubi4_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:5234996739], /lustre/scratch122/tol/data/d/c/b/d/1/7/Bimastos_rubidus/assembly/draft/treeval/whBimRubi4_1/working/work/44/54742fa305a37362d2e6218c946ff7/in/m84093_240613_110819_s2.ccs.bc2076.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36919279423, cn:8], /lustre/scratch122/tol/data/d/c/b/d/1/7/Bimastos_rubidus/assembly/draft/treeval/whBimRubi4_1/working/work/c1/e10dec7cb046beee008be562c60015/in/44810_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (whBimRubi4_1)	COMPLETED	-	1	100 MB	1	31ms	70.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (whBimRubi4_1)	COMPLETED	-	1	100 MB	1	20ms	113.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (whBimRubi4_1)	COMPLETED	-	1	100 MB	1	22ms	98.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	1s	89.0%	0.0%	76.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (whBimRubi4_1)	COMPLETED	-	1	100 MB	1	0ms	32.8%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	5.6s	99.0%	0.0%	149.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (whBimRubi4_1)	COMPLETED	-	1	6 GB	1	5s	94.5%	0.0%	4.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	17s	98.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (whBimRubi4_1)	COMPLETED	-	1	1 GB	1	1s	43.5%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (whBimRubi4_1)	COMPLETED	-	1	100 MB	1	33ms	59.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	15ms	88.9%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (whBimRubi4_1)	COMPLETED	-	1	6 GB	1	0ms	74.5%	0.0%	5.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	16ms	95.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	2s	125.1%	0.0%	280.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	90ms	81.7%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	20ms	82.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (whBimRubi4_1)	COMPLETED	-	1	1 GB	1	0ms	36.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (whBimRubi4_1)	COMPLETED	-	6	1.5 GB	1	4m 22s	100.0%	0.1%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:FASTK_FASTK (whBimRubi4_1)	COMPLETED	-	25	100 GB	1	4m 40s	771.7%	7.5%	28.1 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:MERQURYFK_MERQURYFK (whBimRubi4_1)	COMPLETED	-	20	100 GB	1	1m 49s	1066.3%	1.6%	13.7 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_USTAT (whBimRubi4_1)	COMPLETED	-	1	1 GB	1	5m 19s	98.9%	0.0%	276.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:EXTRACT_REPEAT (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	3s	95.3%	0.0%	6.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_INTERSECT (whBimRubi4_1)	COMPLETED	-	1	15 GB	1	3s	96.5%	0.1%	1.3 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:RENAME_IDS (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	868ms	99.0%	0.0%	4.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_A (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	4s	185.1%	0.1%	294.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:REFORMAT_INTERSECT (whBimRubi4_1)	COMPLETED	-	2	12 GB	1	2.2s	131.8%	0.0%	9.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:TABIX_BGZIPTABIX (whBimRubi4_1)	COMPLETED	-	1	1 GB	1	3s	95.5%	0.0%	9.6 MB
