---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   evil_morse
Pipeline_session:   9b33967f-d444-430c-ba50-bc6cf0aa04b3
Pipeline_duration:  36355
Pipeline_datastrt:  2024-03-08T15:51:44.259536Z
Pipeline_datecomp:  2024-03-09T01:57:39.706460Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      wsOasSpea1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/annelids/Oasisia_sp._SBJ-2009/assembly/draft/treeval/wsOasSpea1_1/wsOasSpea1_1.yaml
InputAssemblyData:  [[id:wsOasSpea1_1, sz:795304382, ln:annelids, tk:null], /lustre/scratch124/tol/projects/asg/data/annelids/Oasisia_sp._SBJ-2009/assembly/draft/treeval/wsOasSpea1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:6266412251], /lustre/scratch124/tol/projects/asg/data/annelids/Oasisia_sp._SBJ-2009/assembly/draft/treeval/wsOasSpea1_1/working/work/9c/a1912625ee347b67e6f81d6ee18e0a/in/m84098_240118_144945_s4.ccs.bc2048.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:20365984580, cn:5], /lustre/scratch124/tol/projects/asg/data/annelids/Oasisia_sp._SBJ-2009/assembly/draft/treeval/wsOasSpea1_1/working/work/6b/f456423072f8fb224afaae62d1424f/in/48453_3-4#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (wsOasSpea1_1)	COMPLETED	-	1	100 MB	1	88ms	29.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (wsOasSpea1_1)	COMPLETED	-	1	100 MB	1	127ms	16.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (wsOasSpea1_1)	COMPLETED	-	1	100 MB	1	89ms	35.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (wsOasSpea1_1)	COMPLETED	-	1	100 MB	1	125ms	33.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (wsOasSpea1_1)	COMPLETED	-	1	100 MB	1	0ms	58.6%	0.0%	1.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (wsOasSpea1_1)	COMPLETED	-	1	6 GB	1	3s	94.1%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	1s	93.9%	0.0%	4.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	4.2s	98.6%	0.0%	137.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	17ms	41.3%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (wsOasSpea1_1)	COMPLETED	-	1	1 GB	1	0ms	45.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (wsOasSpea1_1)	COMPLETED	-	1	100 MB	1	27ms	47.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	1s	142.0%	0.0%	303.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	14ms	79.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	18ms	93.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (wsOasSpea1_1)	COMPLETED	-	1	1 GB	1	0ms	47.2%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	25s	63.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	25s	64.4%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (wsOasSpea1_1)	COMPLETED	-	1	6 GB	1	0ms	57.5%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	15ms	87.1%	0.0%	2.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (wsOasSpea1_1)	COMPLETED	-	2	12 GB	1	81ms	79.0%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (wsOasSpea1_1)	COMPLETED	-	6	1.5 GB	1	3m 24s	99.4%	0.2%	1.2 GB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	23 GB	1	7m 28s	98.7%	4.6%	17.5 GB
