---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   disturbed_rutherford
Pipeline_session:   b388481f-9b2d-46ed-9da7-e4fd12c7108a
Pipeline_duration:  41790
Pipeline_datastrt:  2024-03-12T16:23:33.965196Z
Pipeline_datecomp:  2024-03-13T04:00:04.065464Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      xbAnoFrag3_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/molluscs/Anodontia_fragilis/assembly/draft/treeval/xbAnoFrag3_1/xbAnoFrag3_1.yaml
InputAssemblyData:  [[id:xbAnoFrag3_1, sz:2329513599, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/asg/data/molluscs/Anodontia_fragilis/assembly/draft/treeval/xbAnoFrag3_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[9510355921, 15509652941]], [/lustre/scratch124/tol/projects/asg/data/molluscs/Anodontia_fragilis/assembly/draft/treeval/xbAnoFrag3_1/working/work/81/d98687f7311ed4f51a6d700cdd740b/in/m84093_240215_120403_s2.ccs.bc2024.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/molluscs/Anodontia_fragilis/assembly/draft/treeval/xbAnoFrag3_1/working/work/81/d98687f7311ed4f51a6d700cdd740b/in/m84098_240102_150808_s3.ccs.bc2033.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:47092014341, cn:10], /lustre/scratch124/tol/projects/asg/data/molluscs/Anodontia_fragilis/assembly/draft/treeval/xbAnoFrag3_1/working/work/b0/e6290b211d88ebfc32cf312a16ec97/in/48454_5-6#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (xbAnoFrag3_1)	COMPLETED	-	1	100 MB	1	97ms	30.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (xbAnoFrag3_1)	COMPLETED	-	1	100 MB	1	157ms	19.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (xbAnoFrag3_1)	COMPLETED	-	1	100 MB	1	114ms	17.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (xbAnoFrag3_1)	COMPLETED	-	1	100 MB	1	169ms	20.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	4s	73.1%	0.0%	208.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (xbAnoFrag3_1)	COMPLETED	-	1	6 GB	1	8s	97.3%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (xbAnoFrag3_1)	COMPLETED	-	1	1 GB	1	0ms	50.6%	0.0%	3.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (xbAnoFrag3_1)	COMPLETED	-	1	100 MB	1	58ms	19.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	18ms	79.5%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	12.5s	96.9%	0.1%	411.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	14ms	90.8%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (xbAnoFrag3_1)	COMPLETED	-	1	6 GB	1	0ms	93.8%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	14ms	73.1%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_C (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	206ms	144.9%	0.0%	3.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	5s	122.4%	0.0%	349.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:EXTRACT_TELO (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	20ms	125.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:TABIX_BGZIPTABIX (xbAnoFrag3_1)	COMPLETED	-	1	1 GB	1	0ms	52.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:CAT_CAT (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	1m 8s	98.1%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:CAT_CAT (xbAnoFrag3_1)	COMPLETED	-	2	12 GB	1	1m 15s	99.8%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (xbAnoFrag3_1)	COMPLETED	-	1	100 MB	1	1m 53s	1.0%	0.0%	9 MB
