---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   intergalactic_mirzakhani
Pipeline_session:   8263708f-34e0-4246-bd4c-c0ff1026b72c
Pipeline_duration:  38994
Pipeline_datastrt:  2024-01-26T15:47:46.050272Z
Pipeline_datecomp:  2024-01-27T02:37:40.217757Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      xbArcSenh1_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/xbArcSenh1_2.yaml
InputAssemblyData:  [[id:xbArcSenh1_2, sz:1997625162, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Arcuatula_senhousia/assembly/draft/treeval/xbArcSenh1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6602166892, 6968440610]], [/lustre/scratch124/tol/projects/darwin/data/molluscs/Arcuatula_senhousia/assembly/draft/treeval/xbArcSenh1_2/working/work/d7/119b64ccc17302ec059ad79adfb4aa/in/m64174e_230217_134625.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/molluscs/Arcuatula_senhousia/assembly/draft/treeval/xbArcSenh1_2/working/work/d7/119b64ccc17302ec059ad79adfb4aa/in/m64230e_230303_041506.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:78866910406, cn:17], /lustre/scratch124/tol/projects/darwin/data/molluscs/Arcuatula_senhousia/assembly/draft/treeval/xbArcSenh1_2/working/work/a6/2d7f1c40c6d9f0eef1b8da760c53fb/in/46860_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (xbArcSenh1_2)	CACHED	-	1	100 MB	1	0ms	54.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (xbArcSenh1_2)	CACHED	-	2	12 GB	1	10m 30s	99.7%	1.1%	4.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (xbArcSenh1_2)	CACHED	-	2	12 GB	1	11s	97.1%	0.1%	309.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (xbArcSenh1_2)	CACHED	-	2	12 GB	1	3s	100.3%	0.0%	156.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (xbArcSenh1_2)	CACHED	-	1	100 MB	1	34ms	102.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER_READ_COVERAGE:GrabFiles (xbArcSenh1_2)	CACHED	-	1	100 MB	1	35ms	80.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:READ_COVERAGE:GrabFiles (xbArcSenh1_2)	CACHED	-	1	100 MB	1	31ms	103.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (xbArcSenh1_2)	CACHED	-	1	100 MB	1	31ms	98.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (xbArcSenh1_2)	CACHED	-	2	12 GB	1	6s	113.4%	0.1%	369.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (xbArcSenh1_2)	CACHED	-	2	12 GB	1	16m 48s	99.9%	0.1%	493.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (xbArcSenh1_2)	CACHED	-	1	100 MB	1	26ms	24.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (xbArcSenh1_2)	CACHED	-	2	12 GB	1	18ms	95.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (xbArcSenh1_2)	CACHED	-	2	12 GB	1	10s	99.1%	0.0%	6.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (input/ref.fa)	COMPLETED	-	1	6 GB	1	8s	96.3%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (xbArcSenh1_2)	COMPLETED	-	2	12 GB	1	14ms	49.2%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (xbArcSenh1_2)	COMPLETED	-	2	12 GB	1	14ms	120.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (xbArcSenh1_2)	COMPLETED	-	1	6 GB	1	0ms	91.9%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (xbArcSenh1_2)	COMPLETED	-	2	12 GB	1	13ms	104.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (xbArcSenh1_2)	COMPLETED	-	1	2 GB	1	0ms	65.5%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (xbArcSenh1_2)	COMPLETED	-	1	2 GB	1	0ms	65.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (xbArcSenh1_2)	COMPLETED	-	2	12 GB	1	124ms	130.6%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (xbArcSenh1_2)	COMPLETED	-	1	6 GB	1	8s	96.1%	0.9%	3.5 GB
