---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   crazy_hodgkin
Pipeline_session:   4166e82f-94af-44b4-816c-7a710d836714
Pipeline_duration:  36460
Pipeline_datastrt:  2024-03-20T09:40:01.063804Z
Pipeline_datecomp:  2024-03-20T19:47:41.581123Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      xbCerGlau2_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/molluscs/Cerastoderma_glaucum/assembly/draft/treeval/xbCerGlau2_1/xbCerGlau2_1.yaml
InputAssemblyData:  [[id:xbCerGlau2_1, sz:1049631106, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Cerastoderma_glaucum/assembly/draft/treeval/xbCerGlau2_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[6343146184, 5002276241]], [/lustre/scratch124/tol/projects/darwin/data/molluscs/Cerastoderma_glaucum/assembly/draft/treeval/xbCerGlau2_1/working/work/72/a7e49c7ff4e180a8e7050928b47b32/in/m64178e_240102_160148.ccs.bc2019--bc2019.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/molluscs/Cerastoderma_glaucum/assembly/draft/treeval/xbCerGlau2_1/working/work/72/a7e49c7ff4e180a8e7050928b47b32/in/m64229e_230210_085838.ccs.bc1015_BAK8B_OA--bc1015_BAK8B_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:29782219864, cn:7], /lustre/scratch124/tol/projects/darwin/data/molluscs/Cerastoderma_glaucum/assembly/draft/treeval/xbCerGlau2_1/working/work/5e/c9e0c18f14491477dd23fefccdc6ad/in/45924_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (xbCerGlau2_1)	COMPLETED	-	1	100 MB	1	36ms	86.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (xbCerGlau2_1)	COMPLETED	-	1	100 MB	1	36ms	76.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (xbCerGlau2_1)	COMPLETED	-	1	100 MB	1	35ms	85.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (xbCerGlau2_1)	COMPLETED	-	1	100 MB	1	40ms	102.9%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (xbCerGlau2_1)	COMPLETED	-	1	100 MB	1	0ms	77.3%	0.0%	3.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (xbCerGlau2_1)	COMPLETED	-	1	6 GB	1	7s	95.6%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (xbCerGlau2_1)	COMPLETED	-	2	12 GB	1	1s	91.5%	0.0%	73.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (xbCerGlau2_1)	COMPLETED	-	2	12 GB	1	5.7s	95.5%	0.0%	142.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (xbCerGlau2_1)	COMPLETED	-	2	12 GB	1	16ms	43.2%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (xbCerGlau2_1)	COMPLETED	-	1	1 GB	1	0ms	53.3%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (xbCerGlau2_1)	COMPLETED	-	1	100 MB	1	26ms	23.7%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (xbCerGlau2_1)	COMPLETED	-	2	12 GB	1	1s	137.4%	0.1%	315.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (xbCerGlau2_1)	COMPLETED	-	1	6 GB	1	0ms	85.1%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:REPEAT_DENSITY:GNU_SORT_B (xbCerGlau2_1)	COMPLETED	-	2	12 GB	1	14ms	47.4%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GET_LARGEST_SCAFF (xbCerGlau2_1)	COMPLETED	-	2	12 GB	1	13ms	83.1%	0.0%	0
