---RUN_DATA---
Pipeline_version:   v1.1.0
Pipeline_runname:   nasty_crick
Pipeline_session:   45a29dc7-ae49-4dc4-a5b5-4a02b21de834
Pipeline_duration:  16842
Pipeline_datastrt:  2024-04-27T19:20:23.125165326+01:00
Pipeline_datecomp:  2024-04-28T00:01:05.913094780+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      xbLimHian1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/xbLimHian1_1.yaml
InputAssemblyData:  [[id:xbLimHian1_1, sz:1162724553, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Limaria_hians/assembly/draft/treeval/xbLimHian1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[71597926, 7506548149, 14839316816]], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/55/aaab31eb106668ec624dfbdeab8b00/in/m64222e_230821_181531.ccs.bc2032--bc2032.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/55/aaab31eb106668ec624dfbdeab8b00/in/m84093_240328_185644_s2.ccs.bc2096.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/55/aaab31eb106668ec624dfbdeab8b00/in/m84093_240329_173705_s3.ccs.bc2041.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:52478990400, cn:12], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/49/c461ab0c9c41c88cba92cd9c2bf403/in/46044_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (xbLimHian1_1)	CACHED	-	1	100 MB	1	1s	27.3%	0.0%	3.4 MB
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (xbLimHian1_1)	CACHED	-	1	100 MB	1	200ms	21.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (xbLimHian1_1)	CACHED	-	1	6 GB	1	18s	95.8%	0.2%	1.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (PomaceaCanaliculata24cdna)	CACHED	-	6	70 GB	1	27m 20s	544.8%	7.0%	26.6 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xbLimHian1_1)	CACHED	-	2	12 GB	1	21s	95.4%	0.0%	250.2 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides11010cds)	CACHED	-	6	70 GB	1	34s	283.5%	1.0%	7.8 GB
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (xbLimHian1_1)	CACHED	-	1	100 MB	1	300ms	15.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (xbLimHian1_1)	CACHED	-	1	100 MB	1	348ms	12.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides6005rna)	CACHED	-	6	70 GB	1	36s	300.7%	2.0%	7.8 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xbLimHian1_1)	CACHED	-	2	12 GB	1	20s	95.0%	0.0%	205.6 MB
